"For shame!"	crosswordtracker.com/clue/for-shame/
Stubbed item	crosswordtracker.com/clue/stubbed-item/
Type of hold	crosswordtracker.com/clue/type-of-hold/
Balance beam gripper	crosswordtracker.com/clue/balance-beam-gripper/
Single digit	crosswordtracker.com/clue/single-digit/
Pool temperature tester	crosswordtracker.com/clue/pool-temperature-tester/
Wing-tip tip	crosswordtracker.com/clue/wing-tip-tip/
XXX part	crosswordtracker.com/clue/xxx-part/
It may be pinched	crosswordtracker.com/clue/it-may-be-pinched/
Water temperature tester	crosswordtracker.com/clue/water-temperature-tester-1/
Corn locale	crosswordtracker.com/clue/corn-locale-1/
Boot tip	crosswordtracker.com/clue/boot-tip/
Darn site	crosswordtracker.com/clue/darn-site/
Lower digit	crosswordtracker.com/clue/lower-digit/
Part of a golf club	crosswordtracker.com/clue/part-of-a-golf-club/
Place for a nail	crosswordtracker.com/clue/place-for-a-nail/
Hoof part	crosswordtracker.com/clue/hoof-part/
Nail setting	crosswordtracker.com/clue/nail-setting/
One end of a sock	crosswordtracker.com/clue/one-end-of-a-sock/
Place for a hole in a sock	crosswordtracker.com/clue/place-for-a-hole-in-a-sock/
Nail-polish target	crosswordtracker.com/clue/nail-polish-target/
Tic-tac-__	crosswordtracker.com/clue/tic-tac-__/
__ the line (obey)	crosswordtracker.com/clue/__-the-line-obey/
One of the little piggies	crosswordtracker.com/clue/one-of-the-little-piggies/
Pirouette point	crosswordtracker.com/clue/pirouette-point/
Water tester, maybe	crosswordtracker.com/clue/water-tester-maybe/
It may test the water	crosswordtracker.com/clue/it-may-test-the-water/
It's usually first into the tub	crosswordtracker.com/clue/its-usually-first-into-the-tub/
The third of three X's	crosswordtracker.com/clue/the-third-of-three-xs/
It can be big or little	crosswordtracker.com/clue/it-can-be-big-or-little/
Tip of a wing tip	crosswordtracker.com/clue/tip-of-a-wing-tip/
Darned spot?	crosswordtracker.com/clue/darned-spot-1/
Digit that may be big	crosswordtracker.com/clue/digit-that-may-be-big/
___ loop (skater's jump)	crosswordtracker.com/clue/___-loop-skaters-jump/
Body part susceptible to frostbite	crosswordtracker.com/clue/body-part-susceptible-to-frostbite/
Little piggy, so to speak	crosswordtracker.com/clue/little-piggy-so-to-speak/
Wingtip tip	crosswordtracker.com/clue/wingtip-tip/
Bunion's place	crosswordtracker.com/clue/bunions-place/
Sandal's lack	crosswordtracker.com/clue/sandals-lack/
Stiff ballet shoe part	crosswordtracker.com/clue/stiff-ballet-shoe-part/
A minimus is the smallest one	crosswordtracker.com/clue/a-minimus-is-the-smallest-one/
Tot's "piggy"	crosswordtracker.com/clue/tots-piggy/
Tip of a boot	crosswordtracker.com/clue/tip-of-a-boot/
"Little piggie"	crosswordtracker.com/clue/little-piggie-4/
Baby's "piggy"	crosswordtracker.com/clue/babys-piggy-1/
Little digit	crosswordtracker.com/clue/little-digit-3/
Slipper part	crosswordtracker.com/clue/slipper-part/
Part of Italy	crosswordtracker.com/clue/part-of-italy-1/
Little piggy?	crosswordtracker.com/clue/little-piggy-7/
Winning X or O	crosswordtracker.com/clue/winning-x-or-o/
Tot's "little piggy"	crosswordtracker.com/clue/tots-little-piggy/
Dactyl or hallux	crosswordtracker.com/clue/dactyl-or-hallux/
Drive a nail obliquely	crosswordtracker.com/clue/drive-a-nail-obliquely/
Piggie	crosswordtracker.com/clue/piggie-6/
Hallux or dactyl	crosswordtracker.com/clue/hallux-or-dactyl/
It's sometimes stubbed	crosswordtracker.com/clue/its-sometimes-stubbed/
Turf ___ (football player's malady)	crosswordtracker.com/clue/turf-___-football-players-malady/
Temperature tester	crosswordtracker.com/clue/temperature-tester/
Tick tack follower	crosswordtracker.com/clue/tick-tack-follower/
It's first into the tub	crosswordtracker.com/clue/its-first-into-the-tub/
Nailed item	crosswordtracker.com/clue/nailed-item/
End of a golf club	crosswordtracker.com/clue/end-of-a-golf-club/
One may be stubbed	crosswordtracker.com/clue/one-may-be-stubbed/
"Little piggy," in a children's rhyme	crosswordtracker.com/clue/little-piggy-in-a-childrens-rhyme/
Word with ''hold'' or ''nail''	crosswordtracker.com/clue/word-with-hold-or-nail/
__ the line: conform	crosswordtracker.com/clue/__-the-line-conform/
Wingtip section	crosswordtracker.com/clue/wingtip-section/
First thing in the water, usually	crosswordtracker.com/clue/first-thing-in-the-water-usually/
Lou "The __" Groza, memorable NFL placekicker	crosswordtracker.com/clue/lou-the-__-groza-memorable-nfl-placekicker/
Last of three X's	crosswordtracker.com/clue/last-of-three-xs/
Crude thermometer in the pool?	crosswordtracker.com/clue/crude-thermometer-in-the-pool/
Winning X	crosswordtracker.com/clue/winning-x/
__ the line	crosswordtracker.com/clue/__-the-line/
Big and little digit	crosswordtracker.com/clue/big-and-little-digit/
Terminal digit	crosswordtracker.com/clue/terminal-digit/
Tot's ''little piggie''	crosswordtracker.com/clue/tots-little-piggie-1/
One O of OOO	crosswordtracker.com/clue/one-o-of-ooo/
Foot ending	crosswordtracker.com/clue/foot-ending/
Beat tapper	crosswordtracker.com/clue/beat-tapper/
Head opposite	crosswordtracker.com/clue/head-opposite/
Tapper, at times	crosswordtracker.com/clue/tapper-at-times/
Water-temperature tester	crosswordtracker.com/clue/water-temperature-tester/
Word with hold or nail	crosswordtracker.com/clue/word-with-hold-or-nail-1/
Gout target, often	crosswordtracker.com/clue/gout-target-often/
Water-temperature gauge	crosswordtracker.com/clue/water-temperature-gauge/
Pedal part	crosswordtracker.com/clue/pedal-part/
Polish target, perhaps	crosswordtracker.com/clue/polish-target-perhaps/
Third X in a game	crosswordtracker.com/clue/third-x-in-a-game/
Sight in a sandal	crosswordtracker.com/clue/sight-in-a-sandal/
Bad dancer's target	crosswordtracker.com/clue/bad-dancers-target/
Foot feature with phalanges	crosswordtracker.com/clue/foot-feature-with-phalanges/
Piggy, to a tot	crosswordtracker.com/clue/piggy-to-a-tot/
Talon's location	crosswordtracker.com/clue/talons-location/
"This little piggy ..." digit	crosswordtracker.com/clue/this-little-piggy-digit/
Spot for a nail	crosswordtracker.com/clue/spot-for-a-nail/
Water temperature gauge, sometimes	crosswordtracker.com/clue/water-temperature-gauge-sometimes/
Certain limb's end	crosswordtracker.com/clue/certain-limbs-end/
Kicker's digit?	crosswordtracker.com/clue/kickers-digit/
Oft-tapped item	crosswordtracker.com/clue/oft-tapped-item/
Piggy who went to market, e.g.	crosswordtracker.com/clue/piggy-who-went-to-market-eg/
Foot end	crosswordtracker.com/clue/foot-end-1/
Baby's ''piggy''	crosswordtracker.com/clue/babys-piggy/
Piggy, e.g.	crosswordtracker.com/clue/piggy-eg/
Occasional tapper	crosswordtracker.com/clue/occasional-tapper/
Minimus, e.g.	crosswordtracker.com/clue/minimus-eg/
Last O of O-O-O	crosswordtracker.com/clue/last-o-of-o-o-o/
Nether digit	crosswordtracker.com/clue/nether-digit/
Lower extremity	crosswordtracker.com/clue/lower-extremity/
The winning X	crosswordtracker.com/clue/the-winning-x/
Pirouette pivot point	crosswordtracker.com/clue/pirouette-pivot-point-1/
Place for polish, perhaps	crosswordtracker.com/clue/place-for-polish-perhaps/
It may have a painted nail	crosswordtracker.com/clue/it-may-have-a-painted-nail/
Piggy, of a sort	crosswordtracker.com/clue/piggy-of-a-sort/
Ring site, perhaps	crosswordtracker.com/clue/ring-site-perhaps/
Ballet pivot	crosswordtracker.com/clue/ballet-pivot/
Water-testing digit	crosswordtracker.com/clue/water-testing-digit/
___ the line (obey)	crosswordtracker.com/clue/___-the-line-obey/
Sock tip	crosswordtracker.com/clue/sock-tip/
Sock's end	crosswordtracker.com/clue/socks-end/
"The __": placekicker Lou Groza's nickname	crosswordtracker.com/clue/the-__-placekicker-lou-grozas-nickname/
Piggy, to a kiddy	crosswordtracker.com/clue/piggy-to-a-kiddy/
Polish place, perhaps	crosswordtracker.com/clue/polish-place-perhaps/
"Piggy"	crosswordtracker.com/clue/piggy-18/
It's often pointed in gymnastics	crosswordtracker.com/clue/its-often-pointed-in-gymnastics/
One on the Statue of Liberty is almost three feet long	crosswordtracker.com/clue/one-on-the-statue-of-liberty-is-almost-three-feet-long/
It may provide one's sole support	crosswordtracker.com/clue/it-may-provide-ones-sole-support/
Important part for a jig	crosswordtracker.com/clue/important-part-for-a-jig/
Boot feature	crosswordtracker.com/clue/boot-feature/
Chipped part of a statue, maybe	crosswordtracker.com/clue/chipped-part-of-a-statue-maybe/
___ loop (skating move)	crosswordtracker.com/clue/___-loop-skating-move/
Nail spot	crosswordtracker.com/clue/nail-spot/
Place for a Dr. Scholl's pad	crosswordtracker.com/clue/place-for-a-dr-scholls-pad/
Place for polish	crosswordtracker.com/clue/place-for-polish-1/
Corn grower	crosswordtracker.com/clue/corn-grower-1/
Foot's end	crosswordtracker.com/clue/foots-end/
Shoe's end	crosswordtracker.com/clue/shoes-end/
One little piggy	crosswordtracker.com/clue/one-little-piggy-1/
Pirouetter's pivot	crosswordtracker.com/clue/pirouetters-pivot/
Ballerina's digit	crosswordtracker.com/clue/ballerinas-digit/
Corn location	crosswordtracker.com/clue/corn-location/
Part of a pair of tights	crosswordtracker.com/clue/part-of-a-pair-of-tights/
Limb's end	crosswordtracker.com/clue/limbs-end/
Water temperature gauge	crosswordtracker.com/clue/water-temperature-gauge-2/
Common gout site	crosswordtracker.com/clue/common-gout-site/
Part of Italy where Cape Spartivento is	crosswordtracker.com/clue/part-of-italy-where-cape-spartivento-is/
Water temperature gauge?	crosswordtracker.com/clue/water-temperature-gauge-3/
Tip of a mule	crosswordtracker.com/clue/tip-of-a-mule/
Third X, in a simple game	crosswordtracker.com/clue/third-x-in-a-simple-game/
Swimming pool tester	crosswordtracker.com/clue/swimming-pool-tester/
Ballerina's pivot point	crosswordtracker.com/clue/ballerinas-pivot-point/
One of the 10 lowest digits?	crosswordtracker.com/clue/one-of-the-10-lowest-digits/
Ungulate's hoof, essentially	crosswordtracker.com/clue/ungulates-hoof-essentially/
Sock or foot part	crosswordtracker.com/clue/sock-or-foot-part/
Body part that can be stubbed	crosswordtracker.com/clue/body-part-that-can-be-stubbed/
It may be painted	crosswordtracker.com/clue/it-may-be-painted-1/
Shoe tip	crosswordtracker.com/clue/shoe-tip-1/
Stubbed extremity	crosswordtracker.com/clue/stubbed-extremity/
It may be tapped at a concert	crosswordtracker.com/clue/it-may-be-tapped-at-a-concert/
Sub-unit of a foot	crosswordtracker.com/clue/sub-unit-of-a-foot/
Ballerina's balancing point	crosswordtracker.com/clue/ballerinas-balancing-point/
Follower of tic-tac	crosswordtracker.com/clue/follower-of-tic-tac/
Crude pool thermometer?	crosswordtracker.com/clue/crude-pool-thermometer/
Oft-stubbed extremity	crosswordtracker.com/clue/oft-stubbed-extremity/
Turf ___ (gridder's malady)	crosswordtracker.com/clue/turf-___-gridders-malady/
__ clip (bike part)	crosswordtracker.com/clue/__-clip-bike-part/
Turf __: common football injury	crosswordtracker.com/clue/turf-__-common-football-injury/
Last X of X-X-X	crosswordtracker.com/clue/last-x-of-x-x-x/
Place for a ring, perhaps	crosswordtracker.com/clue/place-for-a-ring-perhaps/
It may be corny	crosswordtracker.com/clue/it-may-be-corny/
Gymnast's pointed part	crosswordtracker.com/clue/gymnasts-pointed-part/
Dactyl	crosswordtracker.com/clue/dactyl-1/
Common darning spot	crosswordtracker.com/clue/common-darning-spot/
Bunions place	crosswordtracker.com/clue/bunions-place-1/
It may be stubbed	crosswordtracker.com/clue/it-may-be-stubbed/
Digital feature	crosswordtracker.com/clue/digital-feature/
Big digit	crosswordtracker.com/clue/big-digit/
Big or little dipper	crosswordtracker.com/clue/big-or-little-dipper/
Tip for a ballerina	crosswordtracker.com/clue/tip-for-a-ballerina/
Bath water tester	crosswordtracker.com/clue/bath-water-tester/
Digit with a ring, maybe	crosswordtracker.com/clue/digit-with-a-ring-maybe/
Gout spot	crosswordtracker.com/clue/gout-spot/
Time keeper, at times	crosswordtracker.com/clue/time-keeper-at-times/
Italy's bottom	crosswordtracker.com/clue/italys-bottom/
Shoe part that may pinch	crosswordtracker.com/clue/shoe-part-that-may-pinch/
It may test the waters	crosswordtracker.com/clue/it-may-test-the-waters/
Third X	crosswordtracker.com/clue/third-x-2/
Third X or O	crosswordtracker.com/clue/third-x-or-o/
Nursery "piggy"	crosswordtracker.com/clue/nursery-piggy/
Tip trailer	crosswordtracker.com/clue/tip-trailer/
Pointe balancing point	crosswordtracker.com/clue/pointe-balancing-point/
Tip-___	crosswordtracker.com/clue/tip-___/
Southern Italy area	crosswordtracker.com/clue/southern-italy-area/
Hallux, e.g.	crosswordtracker.com/clue/hallux-eg/
Tic-tac follower	crosswordtracker.com/clue/tic-tac-follower/
Little corn grower	crosswordtracker.com/clue/little-corn-grower/
Podagra afflicts it	crosswordtracker.com/clue/podagra-afflicts-it/
Nail aslant	crosswordtracker.com/clue/nail-aslant/
Part of Italy on a map	crosswordtracker.com/clue/part-of-italy-on-a-map/
Punter's asset	crosswordtracker.com/clue/punters-asset/
It's stubbed	crosswordtracker.com/clue/its-stubbed/
Ballet dancer's digit	crosswordtracker.com/clue/ballet-dancers-digit/
Kicker's asset	crosswordtracker.com/clue/kickers-asset/
___ the line (conform)	crosswordtracker.com/clue/___-the-line-conform-1/
Little piggie	crosswordtracker.com/clue/little-piggie-5/
Angle a nail	crosswordtracker.com/clue/angle-a-nail/
Ballet point	crosswordtracker.com/clue/ballet-point/
Hammer at an angle	crosswordtracker.com/clue/hammer-at-an-angle/
Pedicured item	crosswordtracker.com/clue/pedicured-item/
___ the mark	crosswordtracker.com/clue/___-the-mark/
Reggio's locale in Italy	crosswordtracker.com/clue/reggios-locale-in-italy/
It's often stubbed	crosswordtracker.com/clue/its-often-stubbed/
Small corn grower	crosswordtracker.com/clue/small-corn-grower/
An area of Italy	crosswordtracker.com/clue/an-area-of-italy/
Place for a callus	crosswordtracker.com/clue/place-for-a-callus/
Corn spot	crosswordtracker.com/clue/corn-spot/
Nail's place	crosswordtracker.com/clue/nails-place/
Ledge grabber	crosswordtracker.com/clue/ledge-grabber/
Final X, maybe	crosswordtracker.com/clue/final-x-maybe/
Footsie player?	crosswordtracker.com/clue/footsie-player/
Tic-tac-___	crosswordtracker.com/clue/tic-tac-___/
Bunion's locale	crosswordtracker.com/clue/bunions-locale/
Bathtime tester	crosswordtracker.com/clue/bathtime-tester/
Big or little follower	crosswordtracker.com/clue/big-or-little-follower/
AKA Hector (Blake)	crosswordtracker.com/clue/aka-hector-blake/
Nail or loop preceder	crosswordtracker.com/clue/nail-or-loop-preceder/
Little piggy, in a tot's rhyme	crosswordtracker.com/clue/little-piggy-in-a-tots-rhyme/
Nail locale	crosswordtracker.com/clue/nail-locale/
Wing tip part	crosswordtracker.com/clue/wing-tip-part/
Bath-water tester	crosswordtracker.com/clue/bath-water-tester-1/
Unit smaller than a foot?	crosswordtracker.com/clue/unit-smaller-than-a-foot-1/
Golf club head part	crosswordtracker.com/clue/golf-club-head-part/
Piggy who went to market	crosswordtracker.com/clue/piggy-who-went-to-market-1/
Pool water tester	crosswordtracker.com/clue/pool-water-tester-1/
Big or baby, e.g.	crosswordtracker.com/clue/big-or-baby-eg/
--- the line	crosswordtracker.com/clue/-the-line/
Pool tester	crosswordtracker.com/clue/pool-tester/
Darn site, perhaps	crosswordtracker.com/clue/darn-site-perhaps/
Turning point for Pavlova?	crosswordtracker.com/clue/turning-point-for-pavlova/
Pavlova's turning point?	crosswordtracker.com/clue/pavlovas-turning-point/
Punt propeller?	crosswordtracker.com/clue/punt-propeller-1/
"--- the line!"	crosswordtracker.com/clue/-the-line-1/
Tap it	crosswordtracker.com/clue/tap-it/
"___ the line!"	crosswordtracker.com/clue/___-the-line-10/
Hammer in obliquely	crosswordtracker.com/clue/hammer-in-obliquely/
Ballerina's asset	crosswordtracker.com/clue/ballerinas-asset-1/
Bunion site	crosswordtracker.com/clue/bunion-site/
It's nailed	crosswordtracker.com/clue/its-nailed/
Corn setting	crosswordtracker.com/clue/corn-setting/
Shoe's tip	crosswordtracker.com/clue/shoes-tip/
Pavlova's pivot	crosswordtracker.com/clue/pavlovas-pivot/
Third X, in a game	crosswordtracker.com/clue/third-x-in-a-game-1/
Shoe end	crosswordtracker.com/clue/shoe-end-2/
Shoe front	crosswordtracker.com/clue/shoe-front-1/
Obey, with "the line"	crosswordtracker.com/clue/obey-with-the-line/
Big ___ (body part)	crosswordtracker.com/clue/big-___-body-part/
Word after big, middle, or little	crosswordtracker.com/clue/word-after-big-middle-or-little/
Pivot point when en pointe	crosswordtracker.com/clue/pivot-point-when-en-pointe/
Boot part	crosswordheaven.com/clues/boot-part
Part of Italy	crosswordheaven.com/clues/part-of-italy
Water tester	crosswordheaven.com/clues/water-tester
Nail site	crosswordheaven.com/clues/nail-site
Place for a hole in a sock	crosswordheaven.com/clues/place-for-a-hole-in-a-sock
Familiar tapper	crosswordheaven.com/clues/familiar-tapper
Shoe part	crosswordheaven.com/clues/shoe-part
Corn site	crosswordheaven.com/clues/corn-site
Time keeper, at times	crosswordheaven.com/clues/time-keeper-at-times
Gout spot	crosswordheaven.com/clues/gout-spot
Little piggy?	crosswordheaven.com/clues/little-piggy
Pirouette point	crosswordheaven.com/clues/pirouette-point
Water tester, maybe	crosswordheaven.com/clues/water-tester-maybe
Stocking part	crosswordheaven.com/clues/stocking-part
Bathwater tester	crosswordheaven.com/clues/bathwater-tester
Italy's bottom	crosswordheaven.com/clues/italys-bottom
Stocking's end	crosswordheaven.com/clues/stockings-end
___ loop (skater's jump)	crosswordheaven.com/clues/___-loop-skaters-jump
Shoe part that may pinch	crosswordheaven.com/clues/shoe-part-that-may-pinch
Darn site	crosswordheaven.com/clues/darn-site
It may test the waters	crosswordheaven.com/clues/it-may-test-the-waters
Third X	crosswordheaven.com/clues/third-x
Last third of a game with nine boxes	crosswordheaven.com/clues/last-third-of-a-game-with-nine-boxes
See 70-Down	crosswordheaven.com/clues/see-70-down
Last X of X-X-X	crosswordheaven.com/clues/last-x-of-x-x-x
Place for a ring, perhaps	crosswordheaven.com/clues/place-for-a-ring-perhaps
Little piggy	crosswordheaven.com/clues/little-piggy
Kicker?	crosswordheaven.com/clues/kicker
A minimus is the smallest one	crosswordheaven.com/clues/a-minimus-is-the-smallest-one
Gymnast's pointed part	crosswordheaven.com/clues/gymnasts-pointed-part
It may be corny	crosswordheaven.com/clues/it-may-be-corny
Toddler's "little piggy"	crosswordheaven.com/clues/toddlers-little-piggy
Low digit?	crosswordheaven.com/clues/low-digit
Pool temperature tester	crosswordheaven.com/clues/pool-temperature-tester
Balance beam gripper	crosswordheaven.com/clues/balance-beam-gripper
Dactyl	crosswordheaven.com/clues/dactyl
Water temperature tester	crosswordheaven.com/clues/water-temperature-tester
Hoof part	crosswordheaven.com/clues/hoof-part
Nail holder	crosswordheaven.com/clues/nail-holder
Bunion’s place	crosswordheaven.com/clues/bunions-place
Common darning spot	crosswordheaven.com/clues/common-darning-spot
Piggy	crosswordheaven.com/clues/piggy
Hose part	crosswordheaven.com/clues/hose-part
Wing-tip tip	crosswordheaven.com/clues/wing-tip-tip
Unit smaller than a foot	crosswordheaven.com/clues/unit-smaller-than-a-foot
Turning point?	crosswordheaven.com/clues/turning-point
Pedal digit	crosswordheaven.com/clues/pedal-digit
Stubbed item	crosswordheaven.com/clues/stubbed-item
See 28-Across	crosswordheaven.com/clues/see-28-across
Low digit	crosswordheaven.com/clues/low-digit
It may be stubbed	crosswordheaven.com/clues/it-may-be-stubbed
Digital feature	crosswordheaven.com/clues/digital-feature
Sock part	crosswordheaven.com/clues/sock-part
Bunion locale	crosswordheaven.com/clues/bunion-locale
Big digit	crosswordheaven.com/clues/big-digit
Kind of hold	crosswordheaven.com/clues/kind-of-hold
Tip for a ballerina	crosswordheaven.com/clues/tip-for-a-ballerina
Big or little dipper	crosswordheaven.com/clues/big-or-little-dipper
Bath water tester	crosswordheaven.com/clues/bath-water-tester
Corn location	crosswordheaven.com/clues/corn-location
Part of a pair of tights	crosswordheaven.com/clues/part-of-a-pair-of-tights
Limb's end	crosswordheaven.com/clues/limbs-end
Water temperature gauge	crosswordheaven.com/clues/water-temperature-gauge
Bunion's place	crosswordheaven.com/clues/bunions-place
Stubbed thing	crosswordheaven.com/clues/stubbed-thing
Stocking stuffer?	crosswordheaven.com/clues/stocking-stuffer
Corn grower	crosswordheaven.com/clues/corn-grower
Foot's end	crosswordheaven.com/clues/foots-end
Head's opposite	crosswordheaven.com/clues/heads-opposite
Shoe's end	crosswordheaven.com/clues/shoes-end
One little piggy	crosswordheaven.com/clues/one-little-piggy
Pirouetter's pivot	crosswordheaven.com/clues/pirouetters-pivot
Wingtip tip	crosswordheaven.com/clues/wingtip-tip
Sandal's lack	crosswordheaven.com/clues/sandals-lack
Ballerina's digit	crosswordheaven.com/clues/ballerinas-digit
Small digit	crosswordheaven.com/clues/small-digit
"Little piggy"	crosswordheaven.com/clues/little-piggy
Stocking's tip	crosswordheaven.com/clues/stockings-tip
Pirouette pivot	crosswordheaven.com/clues/pirouette-pivot
Place for polish	crosswordheaven.com/clues/place-for-polish
Place for a Dr. Scholl's pad	crosswordheaven.com/clues/place-for-a-dr-scholls-pad
It may be pinched	crosswordheaven.com/clues/it-may-be-pinched
Corn locale	crosswordheaven.com/clues/corn-locale
Tip of a wingtip	crosswordheaven.com/clues/tip-of-a-wingtip
Golf club part	crosswordheaven.com/clues/golf-club-part
It may provide one's sole support	crosswordheaven.com/clues/it-may-provide-ones-sole-support
Important part for a jig	crosswordheaven.com/clues/important-part-for-a-jig
46-Across part	crosswordheaven.com/clues/46-across-part
Tot's "piggy"	crosswordheaven.com/clues/tots-piggy
Boot feature	crosswordheaven.com/clues/boot-feature
Swimming pool tester	crosswordheaven.com/clues/swimming-pool-tester
Shoe end	crosswordheaven.com/clues/shoe-end
Darned spot	crosswordheaven.com/clues/darned-spot
Pedicure target	crosswordheaven.com/clues/pedicure-target
Baby's "piggy"	crosswordheaven.com/clues/babys-piggy
Toddler's piggy	crosswordheaven.com/clues/toddlers-piggy
Part of Italy?	crosswordheaven.com/clues/part-of-italy
Head's antithesis	crosswordheaven.com/clues/heads-antithesis
Wing tip's tip	crosswordheaven.com/clues/wing-tips-tip
Single digit	crosswordheaven.com/clues/single-digit
Ballerina's balancing point	crosswordheaven.com/clues/ballerinas-balancing-point
Tip of a wing tip	crosswordheaven.com/clues/tip-of-a-wing-tip
"Piggy" on a tot's foot	crosswordheaven.com/clues/piggy-on-a-tots-foot
Corn-growing location	crosswordheaven.com/clues/corn-growing-location
___ the line	crosswordheaven.com/clues/___-the-line
___ pick (figure skate part)	crosswordheaven.com/clues/___-pick-figure-skate-part
Little piggy, maybe	crosswordheaven.com/clues/little-piggy-maybe
One of a rhino's 12	crosswordheaven.com/clues/one-of-a-rhinos-12
Water temperature "gauge"	crosswordheaven.com/clues/water-temperature-gauge
Wingtip's tip	crosswordheaven.com/clues/wingtips-tip
It tests the waters	crosswordheaven.com/clues/it-tests-the-waters
Piggy, in a nursery rhyme	crosswordheaven.com/clues/piggy-in-a-nursery-rhyme
Piggy in a child's nursery rhyme	crosswordheaven.com/clues/piggy-in-a-childs-nursery-rhyme
It may test the water	crosswordheaven.com/clues/it-may-test-the-water
Ballerina's support	crosswordheaven.com/clues/ballerinas-support
