Put away	crosswordtracker.com/clue/put-away/
Piña colada ingredient	crosswordtracker.com/clue/pina-colada-ingredient/
"Rocks"	crosswordtracker.com/clue/rocks-61/
Road hazard	crosswordtracker.com/clue/road-hazard-2/
Frozen cubes	crosswordtracker.com/clue/frozen-cubes/
You may break it with guests	crosswordtracker.com/clue/you-may-break-it-with-guests/
Motel freebie	crosswordtracker.com/clue/motel-freebie/
Hotel sign	crosswordtracker.com/clue/hotel-sign/
Hard rain	crosswordtracker.com/clue/hard-rain-1/
Nail down	crosswordtracker.com/clue/nail-down/
Drink cooler	crosswordtracker.com/clue/drink-cooler/
Substance scraped by a Zamboni	crosswordtracker.com/clue/substance-scraped-by-a-zamboni/
Hazard to navigation	crosswordtracker.com/clue/hazard-to-navigation/
Sculpture material	crosswordtracker.com/clue/sculpture-material-1/
Cola cooler	crosswordtracker.com/clue/cola-cooler/
Motel sign	crosswordtracker.com/clue/motel-sign/
Bar basic	crosswordtracker.com/clue/bar-basic/
Cooler cooler	crosswordtracker.com/clue/cooler-cooler/
It has a chilling effect	crosswordtracker.com/clue/it-has-a-chilling-effect/
What a game may break	crosswordtracker.com/clue/what-a-game-may-break/
Rocks in a bar	crosswordtracker.com/clue/rocks-in-a-bar-1/
Bar need	crosswordtracker.com/clue/bar-need/
Winter walking hazard	crosswordtracker.com/clue/winter-walking-hazard/
Italian ___	crosswordtracker.com/clue/italian-___/
Sculptor's medium	crosswordtracker.com/clue/sculptors-medium/
Coolness	crosswordtracker.com/clue/coolness-1/
Kind of cream	crosswordtracker.com/clue/kind-of-cream/
Put on hold	crosswordtracker.com/clue/put-on-hold/
Contents of some bags	crosswordtracker.com/clue/contents-of-some-bags/
Frappé	crosswordtracker.com/clue/frappe-2/
Diamonds, to hoods	crosswordtracker.com/clue/diamonds-to-hoods/
Word with pick or pack	crosswordtracker.com/clue/word-with-pick-or-pack/
Hockey surface	crosswordtracker.com/clue/hockey-surface/
Zamboni's surface	crosswordtracker.com/clue/zambonis-surface/
Wintry coating	crosswordtracker.com/clue/wintry-coating/
Rocks, to a bartender	crosswordtracker.com/clue/rocks-to-a-bartender/
Slippery stuff	crosswordtracker.com/clue/slippery-stuff/
Swelling soother	crosswordtracker.com/clue/swelling-soother/
Rock salt may be used on it	crosswordtracker.com/clue/rock-salt-may-be-used-on-it/
Rocks in a glass	crosswordtracker.com/clue/rocks-in-a-glass/
Driving danger	crosswordtracker.com/clue/driving-danger/
Make sure of	crosswordtracker.com/clue/make-sure-of/
Frappé need	crosswordtracker.com/clue/frappe-need/
Bartender's rocks	crosswordtracker.com/clue/bartenders-rocks/
Sprain treatment	crosswordtracker.com/clue/sprain-treatment/
Party supply	crosswordtracker.com/clue/party-supply/
Sculpture material, sometimes	crosswordtracker.com/clue/sculpture-material-sometimes/
Hockey milieu	crosswordtracker.com/clue/hockey-milieu/
Temporary sculpture medium	crosswordtracker.com/clue/temporary-sculpture-medium/
Bar rocks	crosswordtracker.com/clue/bar-rocks/
It clinks in drinks	crosswordtracker.com/clue/it-clinks-in-drinks/
Slippery surface	crosswordtracker.com/clue/slippery-surface/
Skater's surface	crosswordtracker.com/clue/skaters-surface/
Hard water	crosswordtracker.com/clue/hard-water-1/
Make absolutely sure	crosswordtracker.com/clue/make-absolutely-sure/
Party purchase	crosswordtracker.com/clue/party-purchase/
It's cold, regardless of climate	crosswordtracker.com/clue/its-cold-regardless-of-climate/
Berg composition	crosswordtracker.com/clue/berg-composition/
Hot diamonds	crosswordtracker.com/clue/hot-diamonds/
Cause of skidding	crosswordtracker.com/clue/cause-of-skidding/
Cooler cubes	crosswordtracker.com/clue/cooler-cubes/
Hail, e.g.	crosswordtracker.com/clue/hail-eg/
Barkeep's supply	crosswordtracker.com/clue/barkeeps-supply/
Lemieux milieu	crosswordtracker.com/clue/lemieux-milieu/
Zamboni milieu	crosswordtracker.com/clue/zamboni-milieu/
Composition of some sheets	crosswordtracker.com/clue/composition-of-some-sheets/
Clinch, as a deal	crosswordtracker.com/clue/clinch-as-a-deal/
Polar formation	crosswordtracker.com/clue/polar-formation/
Bartender's need	crosswordtracker.com/clue/bartenders-need/
Diamonds, to Legs	crosswordtracker.com/clue/diamonds-to-legs/
Glaciate	crosswordtracker.com/clue/glaciate-3/
Sparklers	crosswordtracker.com/clue/sparklers/
Smoothie ingredient	crosswordtracker.com/clue/smoothie-ingredient-1/
Tend to a sprain	crosswordtracker.com/clue/tend-to-a-sprain/
Black ____	crosswordtracker.com/clue/black-____-1/
Bar necessity	crosswordtracker.com/clue/bar-necessity/
Decorate a cake	crosswordtracker.com/clue/decorate-a-cake/
Water one can walk on	crosswordtracker.com/clue/water-one-can-walk-on/
Type of chest	crosswordtracker.com/clue/type-of-chest/
Zamboni's place	crosswordtracker.com/clue/zambonis-place/
Diamonds, to a gangster	crosswordtracker.com/clue/diamonds-to-a-gangster/
A camel may be executed on it	crosswordtracker.com/clue/a-camel-may-be-executed-on-it/
It may be in blocks	crosswordtracker.com/clue/it-may-be-in-blocks/
Diamonds, to yeggs	crosswordtracker.com/clue/diamonds-to-yeggs/
Cubes in a bucket	crosswordtracker.com/clue/cubes-in-a-bucket/
Treat, as a sprain	crosswordtracker.com/clue/treat-as-a-sprain/
Injury soother	crosswordtracker.com/clue/injury-soother/
Glacier composition	crosswordtracker.com/clue/glacier-composition/
Rocks in bars	crosswordtracker.com/clue/rocks-in-bars/
Cooler in the cooler	crosswordtracker.com/clue/cooler-in-the-cooler/
Kind of jam	crosswordtracker.com/clue/kind-of-jam/
Word in the center of all three long entries	crosswordtracker.com/clue/word-in-the-center-of-all-three-long-entries/
Diamonds, to a cat burglar	crosswordtracker.com/clue/diamonds-to-a-cat-burglar/
Winter peril	crosswordtracker.com/clue/winter-peril/
Restaurant block	crosswordtracker.com/clue/restaurant-block/
Kwan's surface	crosswordtracker.com/clue/kwans-surface/
Sprain application	crosswordtracker.com/clue/sprain-application/
What chit-chat may break	crosswordtracker.com/clue/what-chit-chat-may-break/
It's sometimes sold in bags	crosswordtracker.com/clue/its-sometimes-sold-in-bags/
What a joke may break	crosswordtracker.com/clue/what-a-joke-may-break/
Winter Olympics need	crosswordtracker.com/clue/winter-olympics-need/
Main component of Saturn's rings	crosswordtracker.com/clue/main-component-of-saturns-rings/
Swell remedy?	crosswordtracker.com/clue/swell-remedy/
Winter sidewalk hazard	crosswordtracker.com/clue/winter-sidewalk-hazard/
Cold cube	crosswordtracker.com/clue/cold-cube/
Cool stuff	crosswordtracker.com/clue/cool-stuff/
Arctic surface	crosswordtracker.com/clue/arctic-surface/
Sno-cone filler	crosswordtracker.com/clue/sno-cone-filler/
Preserve, perhaps	crosswordtracker.com/clue/preserve-perhaps/
Sculpting material, sometimes	crosswordtracker.com/clue/sculpting-material-sometimes/
Curling setting	crosswordtracker.com/clue/curling-setting/
Type of cube or chest	crosswordtracker.com/clue/type-of-cube-or-chest/
Cooler drink	crosswordtracker.com/clue/cooler-drink/
Word with pack or pick	crosswordtracker.com/clue/word-with-pack-or-pick/
Wintry buildup	crosswordtracker.com/clue/wintry-buildup/
Yegg's haul	crosswordtracker.com/clue/yeggs-haul/
Bartender's "rocks"	crosswordtracker.com/clue/bartenders-rocks-1/
Some bling	crosswordtracker.com/clue/some-bling/
Winter sculpture medium	crosswordtracker.com/clue/winter-sculpture-medium/
Diamonds, to a yegg	crosswordtracker.com/clue/diamonds-to-a-yegg/
"Cool" target for a yegg?	crosswordtracker.com/clue/cool-target-for-a-yegg/
It's hard to walk on	crosswordtracker.com/clue/its-hard-to-walk-on/
Cool off	crosswordtracker.com/clue/cool-off-6/
Yegg's diamonds	crosswordtracker.com/clue/yeggs-diamonds/
Clinch, in slang	crosswordtracker.com/clue/clinch-in-slang/
Winter road hazard	crosswordtracker.com/clue/winter-road-hazard-1/
Knock off, to a mobster	crosswordtracker.com/clue/knock-off-to-a-mobster/
Shelf material	crosswordtracker.com/clue/shelf-material/
It may be crushed	crosswordtracker.com/clue/it-may-be-crushed/
Cover at the bakery	crosswordtracker.com/clue/cover-at-the-bakery/
Vanilla ___	crosswordtracker.com/clue/vanilla-___/
What makes a drink clink	crosswordtracker.com/clue/what-makes-a-drink-clink/
Dry __	crosswordtracker.com/clue/dry-__/
Frost a cake	crosswordtracker.com/clue/frost-a-cake/
Surface for a Sabre	crosswordtracker.com/clue/surface-for-a-sabre/
More than aloofness	crosswordtracker.com/clue/more-than-aloofness/
Ferber's "___ Palace"	crosswordtracker.com/clue/ferbers-___-palace/
Cooler for coolers	crosswordtracker.com/clue/cooler-for-coolers/
Cooler filler	crosswordtracker.com/clue/cooler-filler/
Cold cubes	crosswordtracker.com/clue/cold-cubes-1/
Home ___ (hockey advantage)	crosswordtracker.com/clue/home-___-hockey-advantage/
Rocks in a tumbler	crosswordtracker.com/clue/rocks-in-a-tumbler/
Word in many beer names	crosswordtracker.com/clue/word-in-many-beer-names/
Rocks, in a bar	crosswordtracker.com/clue/rocks-in-a-bar-2/
Misplay a puck	crosswordtracker.com/clue/misplay-a-puck/
____Mountain, British Columbia	crosswordtracker.com/clue/____mountain-british-columbia/
Hockey prerequisite	crosswordtracker.com/clue/hockey-prerequisite/
Black______	crosswordtracker.com/clue/black______/
Off, in a way	crosswordtracker.com/clue/off-in-a-way/
Crystal	crosswordtracker.com/clue/crystal-66/
Word with cap or cube	crosswordtracker.com/clue/word-with-cap-or-cube/
Bucket type	crosswordtracker.com/clue/bucket-type/
Some cubes	crosswordtracker.com/clue/some-cubes/
Makeup of some sheets	crosswordtracker.com/clue/makeup-of-some-sheets/
Screwdriver part	crosswordtracker.com/clue/screwdriver-part-1/
Kill, in mob slang	crosswordtracker.com/clue/kill-in-mob-slang/
Cube or cream preceder	crosswordtracker.com/clue/cube-or-cream-preceder/
Cubes in a bar	crosswordtracker.com/clue/cubes-in-a-bar/
Jewelry, to R. Kelly	crosswordtracker.com/clue/jewelry-to-r-kelly/
Skid cause	crosswordtracker.com/clue/skid-cause/
Jewelry or meth, in slang	crosswordtracker.com/clue/jewelry-or-meth-in-slang/
Seal, as a victory	crosswordtracker.com/clue/seal-as-a-victory/
Jewelry	crosswordtracker.com/clue/jewelry-50/
Some people like their espresso poured over it	crosswordtracker.com/clue/some-people-like-their-espresso-poured-over-it/
Winter walking peril	crosswordtracker.com/clue/winter-walking-peril/
Diamonds, as it were	crosswordtracker.com/clue/diamonds-as-it-were/
Coco's co-star	crosswordtracker.com/clue/cocos-co-star/
Surface for Sharks	crosswordtracker.com/clue/surface-for-sharks/
Bucket filler	crosswordtracker.com/clue/bucket-filler/
Rocks in the freezer	crosswordtracker.com/clue/rocks-in-the-freezer/
Glacial material	crosswordtracker.com/clue/glacial-material/
Arctic landscape	crosswordtracker.com/clue/arctic-landscape/
Age that came with a chill	crosswordtracker.com/clue/age-that-came-with-a-chill/
Machine in a motel	crosswordtracker.com/clue/machine-in-a-motel/
Skier's bane	crosswordtracker.com/clue/skiers-bane/
NHL surface	crosswordtracker.com/clue/nhl-surface/
Diamonds, to a fence	crosswordtracker.com/clue/diamonds-to-a-fence/
Alternative in a Frost poem	crosswordtracker.com/clue/alternative-in-a-frost-poem/
Cubes in a freezer	crosswordtracker.com/clue/cubes-in-a-freezer/
Sheet on the road, perhaps	crosswordtracker.com/clue/sheet-on-the-road-perhaps/
Requirement for curlers	crosswordtracker.com/clue/requirement-for-curlers/
Old pushcart cry	crosswordtracker.com/clue/old-pushcart-cry/
Cold blocks	crosswordtracker.com/clue/cold-blocks/
Gretzky's stage	crosswordtracker.com/clue/gretzkys-stage/
Freezer item	crosswordtracker.com/clue/freezer-item/
Crook's diamonds	crosswordtracker.com/clue/crooks-diamonds/
Chilly cubes	crosswordtracker.com/clue/chilly-cubes/
Olympic dancing venue	crosswordtracker.com/clue/olympic-dancing-venue/
Windshield annoyance	crosswordtracker.com/clue/windshield-annoyance/
Windshield inconvenience	crosswordtracker.com/clue/windshield-inconvenience/
Rocks in a cocktail	crosswordtracker.com/clue/rocks-in-a-cocktail/
Drink coolant	crosswordtracker.com/clue/drink-coolant/
Rocks, maybe	crosswordtracker.com/clue/rocks-maybe/
It may be found in a sheet	crosswordtracker.com/clue/it-may-be-found-in-a-sheet/
Pack or pick preceder	crosswordtracker.com/clue/pack-or-pick-preceder/
Block in a restaurant?	crosswordtracker.com/clue/block-in-a-restaurant/
Water you may walk on	crosswordtracker.com/clue/water-you-may-walk-on/
It can be shaved or cracked	crosswordtracker.com/clue/it-can-be-shaved-or-cracked/
Rocks in a bar?	crosswordtracker.com/clue/rocks-in-a-bar/
Cube-shaped rocks?	crosswordtracker.com/clue/cube-shaped-rocks/
Word with cap or cream	crosswordtracker.com/clue/word-with-cap-or-cream/
Shelf component, perhaps	crosswordtracker.com/clue/shelf-component-perhaps/
Wintry covering	crosswordtracker.com/clue/wintry-covering/
Rocks from a bucket	crosswordtracker.com/clue/rocks-from-a-bucket/
Bruise treatment	crosswordtracker.com/clue/bruise-treatment/
Sprain remedy	crosswordtracker.com/clue/sprain-remedy/
Bucket or pack filler	crosswordtracker.com/clue/bucket-or-pack-filler/
Word after pack or black	crosswordtracker.com/clue/word-after-pack-or-black/
Chiller of a sort	crosswordtracker.com/clue/chiller-of-a-sort/
Word in several 4D monikers	crosswordtracker.com/clue/word-in-several-4d-monikers/
Word before beer or milk	crosswordtracker.com/clue/word-before-beer-or-milk/
Most of Greenland	crosswordtracker.com/clue/most-of-greenland/
Much of Saturn's rings	crosswordtracker.com/clue/much-of-saturns-rings/
Short-lived sculpture medium	crosswordtracker.com/clue/short-lived-sculpture-medium/
Winter blackout cause, often	crosswordtracker.com/clue/winter-blackout-cause-often/
Neat drink's lack	crosswordtracker.com/clue/neat-drinks-lack/
Mint julep ingredient	crosswordtracker.com/clue/mint-julep-ingredient/
Cocktail cooler	crosswordtracker.com/clue/cocktail-cooler/
Glacier substance	crosswordtracker.com/clue/glacier-substance/
Diamonds or rocks, in slang	crosswordtracker.com/clue/diamonds-or-rocks-in-slang/
Wine cooler?	crosswordtracker.com/clue/wine-cooler/
Dentyne brand name	crosswordtracker.com/clue/dentyne-brand-name/
Swell reducer	crosswordtracker.com/clue/swell-reducer/
Rocks, at the bar	crosswordtracker.com/clue/rocks-at-the-bar-1/
Primary component of Saturn's rings	crosswordtracker.com/clue/primary-component-of-saturns-rings/
Curler's setting	crosswordtracker.com/clue/curlers-setting/
Kind of pack or pick	crosswordtracker.com/clue/kind-of-pack-or-pick/
Diamonds, informally	crosswordtracker.com/clue/diamonds-informally/
It's sold in blocks	crosswordtracker.com/clue/its-sold-in-blocks/
Denverite's December driving danger	crosswordtracker.com/clue/denverites-december-driving-danger/
''Fire and ___'' by Robert Frost	crosswordtracker.com/clue/fire-and-___-by-robert-frost/
Certain sculpting medium	crosswordtracker.com/clue/certain-sculpting-medium/
''___ Station Zebra''	crosswordtracker.com/clue/___-station-zebra/
Hot stones	crosswordtracker.com/clue/hot-stones/
Chest contents, often	crosswordtracker.com/clue/chest-contents-often/
Word with ''maker'' or ''breaker''	crosswordtracker.com/clue/word-with-maker-or-breaker/
Chilling pieces?	crosswordtracker.com/clue/chilling-pieces/
Word with "skate" or "water"	crosswordtracker.com/clue/word-with-skate-or-water/
Zamboni's milieu	crosswordtracker.com/clue/zambonis-milieu/
Pepsi cooler	crosswordtracker.com/clue/pepsi-cooler/
"___ Station Zebra"	crosswordtracker.com/clue/___-station-zebra-1/
Word with "water" or "maker"	crosswordtracker.com/clue/word-with-water-or-maker/
Kind of fishing	crosswordtracker.com/clue/kind-of-fishing/
Diamonds, to a thief	crosswordtracker.com/clue/diamonds-to-a-thief/
___ Capades (skating show)	crosswordtracker.com/clue/___-capades-skating-show/
Something to push for in hotels	crosswordtracker.com/clue/something-to-push-for-in-hotels/
Rocks for a Black Russian	crosswordtracker.com/clue/rocks-for-a-black-russian/
Cool cubes	crosswordtracker.com/clue/cool-cubes/
It's sold in bags or blocks	crosswordtracker.com/clue/its-sold-in-bags-or-blocks/
Cruise sculptor's medium	crosswordtracker.com/clue/cruise-sculptors-medium/
Rocks, at a bar	crosswordtracker.com/clue/rocks-at-a-bar/
Surface for Kings and Senators	crosswordtracker.com/clue/surface-for-kings-and-senators/
Treatment for swelling	crosswordtracker.com/clue/treatment-for-swelling/
Rocks, to a barkeep	crosswordtracker.com/clue/rocks-to-a-barkeep/
Most of Antarctica	crosswordtracker.com/clue/most-of-antarctica/
Beverage-store bagful	crosswordtracker.com/clue/beverage-store-bagful/
Assure victory in, slangily	crosswordtracker.com/clue/assure-victory-in-slangily/
Manhattan cooler?	crosswordtracker.com/clue/manhattan-cooler/
Snow cone base	crosswordtracker.com/clue/snow-cone-base/
Word before bag or chest	crosswordtracker.com/clue/word-before-bag-or-chest/
Epitome of coldness	crosswordtracker.com/clue/epitome-of-coldness/
"March of the Penguins" milieu	crosswordtracker.com/clue/march-of-the-penguins-milieu/
Eldridge Cleaver's "Soul on __"	crosswordtracker.com/clue/eldridge-cleavers-soul-on-__/
Cubes from the freezer	crosswordtracker.com/clue/cubes-from-the-freezer/
Beverage store buy	crosswordtracker.com/clue/beverage-store-buy/
What most of hail is	crosswordtracker.com/clue/what-most-of-hail-is/
Number in a pack?	crosswordtracker.com/clue/number-in-a-pack/
Freezer cubes	crosswordtracker.com/clue/freezer-cubes/
It's never in a neat order	crosswordtracker.com/clue/its-never-in-a-neat-order/
Something with this is not neat	crosswordtracker.com/clue/something-with-this-is-not-neat/
Sno-cone base	crosswordtracker.com/clue/sno-cone-base/
Supermarket bagful	crosswordtracker.com/clue/supermarket-bagful/
Something to slip on	crosswordtracker.com/clue/something-to-slip-on-1/
Boardwalk treat	crosswordtracker.com/clue/boardwalk-treat/
Medium for playing the Blues?	crosswordtracker.com/clue/medium-for-playing-the-blues/
Freezer tray contents	crosswordtracker.com/clue/freezer-tray-contents/
Stuff in trays	crosswordtracker.com/clue/stuff-in-trays/
Freezer trayful	crosswordtracker.com/clue/freezer-trayful/
Word before maker or breaker	crosswordtracker.com/clue/word-before-maker-or-breaker/
Put away for good	crosswordtracker.com/clue/put-away-for-good/
Something found in a sheet	crosswordtracker.com/clue/something-found-in-a-sheet/
Party purchase, perhaps	crosswordtracker.com/clue/party-purchase-perhaps/
Zamboni surface	crosswordtracker.com/clue/zamboni-surface/
Freezer buildup	crosswordtracker.com/clue/freezer-buildup/
Slurpee substance	crosswordtracker.com/clue/slurpee-substance/
Hotel bucketful	crosswordtracker.com/clue/hotel-bucketful/
Floe material	crosswordtracker.com/clue/floe-material/
Plans may be put on it	crosswordtracker.com/clue/plans-may-be-put-on-it/
Party host's bagful	crosswordtracker.com/clue/party-hosts-bagful/
Arctic pier material	crosswordtracker.com/clue/arctic-pier-material/
Glacier, essentially	crosswordtracker.com/clue/glacier-essentially/
Blocks from the refrigerator	crosswordtracker.com/clue/blocks-from-the-refrigerator/
It's very cool	crosswordtracker.com/clue/its-very-cool/
Berg makeup	crosswordtracker.com/clue/berg-makeup/
Ship navigation hazard	crosswordtracker.com/clue/ship-navigation-hazard/
It's found in rinks and drinks	crosswordtracker.com/clue/its-found-in-rinks-and-drinks/
Nail down or cool down	crosswordtracker.com/clue/nail-down-or-cool-down/
Word before pack, pick, or the puck	crosswordtracker.com/clue/word-before-pack-pick-or-the-puck/
Curling venue	crosswordtracker.com/clue/curling-venue/
Clinch or cinch	crosswordtracker.com/clue/clinch-or-cinch/
Water, when it gets cold enough	crosswordtracker.com/clue/water-when-it-gets-cold-enough/
Cool sculpture medium	crosswordtracker.com/clue/cool-sculpture-medium/
Beverage cooler	crosswordtracker.com/clue/beverage-cooler/
Last-minute party purchase	crosswordtracker.com/clue/last-minute-party-purchase/
Winter glaze	crosswordtracker.com/clue/winter-glaze/
Word repeated before "Baby" in a hip-hop title	crosswordtracker.com/clue/word-repeated-before-baby-in-a-hip-hop-title/
Water at 31 degrees	crosswordtracker.com/clue/water-at-31-degrees/
Freezer stuff	crosswordtracker.com/clue/freezer-stuff/
Hotel floor sign	crosswordtracker.com/clue/hotel-floor-sign/
H20 at 0°	crosswordtracker.com/clue/h20-at-0/
Pilot's worry	crosswordtracker.com/clue/pilots-worry/
Chiller	crosswordtracker.com/clue/chiller-2/
Cause of a skid	crosswordtracker.com/clue/cause-of-a-skid/
Cap material	crosswordtracker.com/clue/cap-material-1/
___ cream	crosswordtracker.com/clue/___-cream-1/
Harbor problem	crosswordtracker.com/clue/harbor-problem/
Convenience store bagful	crosswordtracker.com/clue/convenience-store-bagful/
It's hard to get a grip on	crosswordtracker.com/clue/its-hard-to-get-a-grip-on/
Kind of beer or bag	crosswordtracker.com/clue/kind-of-beer-or-bag/
Eskimo building material	crosswordtracker.com/clue/eskimo-building-material/
Tundra feature	crosswordtracker.com/clue/tundra-feature/
Word with bag or cap	crosswordtracker.com/clue/word-with-bag-or-cap/
Diamonds, in criminal slang	crosswordtracker.com/clue/diamonds-in-criminal-slang/
Secure, as a victory	crosswordtracker.com/clue/secure-as-a-victory/
Make final	crosswordtracker.com/clue/make-final-2/
Broomball surface	crosswordtracker.com/clue/broomball-surface/
Kind of bag or chest	crosswordtracker.com/clue/kind-of-bag-or-chest/
Rocks, so to speak	crosswordtracker.com/clue/rocks-so-to-speak/
Break the ___	crosswordtracker.com/clue/break-the-___/
Christmas traveler's worry	crosswordtracker.com/clue/christmas-travelers-worry/
Type of tray or cube	crosswordtracker.com/clue/type-of-tray-or-cube/
Infant harp seal's surface	crosswordtracker.com/clue/infant-harp-seals-surface/
Cooler contents	crosswordtracker.com/clue/cooler-contents/
Rocks in glasses	crosswordtracker.com/clue/rocks-in-glasses/
Treat, as a bruise	crosswordtracker.com/clue/treat-as-a-bruise/
It makes a drink clink	crosswordtracker.com/clue/it-makes-a-drink-clink/
On ___ (in reserve)	crosswordtracker.com/clue/on-___-in-reserve/
Surface for a Flame	crosswordtracker.com/clue/surface-for-a-flame/
Hot gems	crosswordtracker.com/clue/hot-gems/
Surface for Gretzky	crosswordtracker.com/clue/surface-for-gretzky/
Hood's diamonds	crosswordtracker.com/clue/hoods-diamonds/
Trainer's aid, often	crosswordtracker.com/clue/trainers-aid-often/
Pleistocene Age	crosswordtracker.com/clue/pleistocene-age/
Frazil	crosswordtracker.com/clue/frazil/
Surface for Hamill	crosswordtracker.com/clue/surface-for-hamill/
Verglas ingredient	crosswordtracker.com/clue/verglas-ingredient/
Legs Diamond's diamonds	crosswordtracker.com/clue/legs-diamonds-diamonds/
Italian _____	crosswordtracker.com/clue/italian-_____/
Kind of cap or cream	crosswordtracker.com/clue/kind-of-cap-or-cream/
Treat a sprain	crosswordtracker.com/clue/treat-a-sprain/
The rocks in "on the rocks"	crosswordtracker.com/clue/the-rocks-in-on-the-rocks/
Murder, in mob talk	crosswordtracker.com/clue/murder-in-mob-talk/
Make sure of, as a victory	crosswordtracker.com/clue/make-sure-of-as-a-victory/
Tray material	crosswordtracker.com/clue/tray-material/
Sorbet	crosswordtracker.com/clue/sorbet-5/
Bump off, so to speak	crosswordtracker.com/clue/bump-off-so-to-speak/
_____ dancing	crosswordtracker.com/clue/_____-dancing/
Protection money, in slang	crosswordtracker.com/clue/protection-money-in-slang/
It goes with the floe	crosswordtracker.com/clue/it-goes-with-the-floe/
"Hot" gems	crosswordtracker.com/clue/hot-gems-1/
H2O, at times	crosswordtracker.com/clue/h2o-at-times/
Debi Thomas's milieu	crosswordtracker.com/clue/debi-thomass-milieu/
Moll's diamonds	crosswordtracker.com/clue/molls-diamonds/
Jewel thief's loot	crosswordtracker.com/clue/jewel-thiefs-loot/
Surface for Scott Hamilton	crosswordtracker.com/clue/surface-for-scott-hamilton/
Rocks, to a hood	crosswordtracker.com/clue/rocks-to-a-hood/
Frozen H2O	crosswordtracker.com/clue/frozen-h2o/
Diamonds, to a hood	crosswordtracker.com/clue/diamonds-to-a-hood/
Underfooting for Fleming	crosswordtracker.com/clue/underfooting-for-fleming/
Manhattan chiller	crosswordtracker.com/clue/manhattan-chiller/
Jan. 1 head-soother	crosswordtracker.com/clue/jan-1-head-soother/
Drink additive	crosswordtracker.com/clue/drink-additive-1/
Necessity for making mint juleps	crosswordtracker.com/clue/necessity-for-making-mint-juleps/
Its sold in bags	crosswordtracker.com/clue/its-sold-in-bags-1/
Dentyne breath-freshening gum	crosswordtracker.com/clue/dentyne-breath-freshening-gum/
Wedding sculpture material	crosswordtracker.com/clue/wedding-sculpture-material/
Assure	crosswordtracker.com/clue/assure-18/
It's sold in bags	crosswordtracker.com/clue/its-sold-in-bags-2/
Cube makeup	crosswordtracker.com/clue/cube-makeup/
Crystal meth, in slang	crosswordtracker.com/clue/crystal-meth-in-slang/
Profit made from scalping tickets	crosswordtracker.com/clue/profit-made-from-scalping-tickets/
Word with skater or water	crosswordtracker.com/clue/word-with-skater-or-water/
Salchow surface	crosswordtracker.com/clue/salchow-surface/
Word with fishing and dancing	crosswordtracker.com/clue/word-with-fishing-and-dancing/
___-nine (substance in "Cat's Cradle")	crosswordtracker.com/clue/___-nine-substance-in-cats-cradle/
Diamonds, in fencing slang	crosswordtracker.com/clue/diamonds-in-fencing-slang/
People often get checked while moving across it	crosswordtracker.com/clue/people-often-get-checked-while-moving-across-it/
