Hot spot	crosswordtracker.com/clue/hot-spot/
Kind of treatment	crosswordtracker.com/clue/kind-of-treatment/
Hot springs	crosswordtracker.com/clue/hot-springs-3/
Baden-Baden, e.g.	crosswordtracker.com/clue/baden-baden-eg/
Marienbad, for one	crosswordtracker.com/clue/marienbad-for-one/
Restful resort	crosswordtracker.com/clue/restful-resort/
Seaweed wrap site	crosswordtracker.com/clue/seaweed-wrap-site/
Place for a mud bath	crosswordtracker.com/clue/place-for-a-mud-bath/
Hydrotherapy facility	crosswordtracker.com/clue/hydrotherapy-facility/
Aromatherapy setting	crosswordtracker.com/clue/aromatherapy-setting/
Place for pampering	crosswordtracker.com/clue/place-for-pampering/
Hot spring	crosswordtracker.com/clue/hot-spring/
Évian, for one	crosswordtracker.com/clue/evian-for-one/
Place for sweaters?	crosswordtracker.com/clue/place-for-sweaters/
Sauna site	crosswordtracker.com/clue/sauna-site/
Masseur's workplace	crosswordtracker.com/clue/masseurs-workplace/
Healthful retreat	crosswordtracker.com/clue/healthful-retreat/
Vacation location	crosswordtracker.com/clue/vacation-location/
Place for a massage	crosswordtracker.com/clue/place-for-a-massage/
Baths	crosswordtracker.com/clue/baths-5/
Spring locale	crosswordtracker.com/clue/spring-locale/
It's good for what ails you	crosswordtracker.com/clue/its-good-for-what-ails-you/
Saratoga Springs, e.g.	crosswordtracker.com/clue/saratoga-springs-eg/
Whirlpool site	crosswordtracker.com/clue/whirlpool-site/
Relaxing retreat	crosswordtracker.com/clue/relaxing-retreat-1/
Masseuse employer	crosswordtracker.com/clue/masseuse-employer/
Spot for a rubdown	crosswordtracker.com/clue/spot-for-a-rubdown/
Curative waters	crosswordtracker.com/clue/curative-waters/
Place for a facial	crosswordtracker.com/clue/place-for-a-facial/
Luxurious resort	crosswordtracker.com/clue/luxurious-resort-1/
Day ___	crosswordtracker.com/clue/day-___-3/
Watering place	crosswordtracker.com/clue/watering-place/
Whirlpool whereabouts	crosswordtracker.com/clue/whirlpool-whereabouts/
Health facility	crosswordtracker.com/clue/health-facility/
Belgian resort	crosswordtracker.com/clue/belgian-resort/
Soaking spot	crosswordtracker.com/clue/soaking-spot/
Toning-up spot	crosswordtracker.com/clue/toning-up-spot/
Curative place	crosswordtracker.com/clue/curative-place/
Bad Ems, e.g.	crosswordtracker.com/clue/bad-ems-eg/
Place for a soak	crosswordtracker.com/clue/place-for-a-soak/
Bathroom installation	crosswordtracker.com/clue/bathroom-installation/
Place to get a massage	crosswordtracker.com/clue/place-to-get-a-massage/
Vacation locale	crosswordtracker.com/clue/vacation-locale/
Masseuse's milieu	crosswordtracker.com/clue/masseuses-milieu/
Baden-Baden is one	crosswordtracker.com/clue/baden-baden-is-one/
Resort hotel	crosswordtracker.com/clue/resort-hotel/
Bath bath	crosswordtracker.com/clue/bath-bath/
Facial spot?	crosswordtracker.com/clue/facial-spot-1/
Relaxing spot	crosswordtracker.com/clue/relaxing-spot/
Curative locale	crosswordtracker.com/clue/curative-locale/
Where to get rubbed the right way?	crosswordtracker.com/clue/where-to-get-rubbed-the-right-way/
Splashy resort	crosswordtracker.com/clue/splashy-resort/
Bad Ems, for one	crosswordtracker.com/clue/bad-ems-for-one/
Mudbath locale	crosswordtracker.com/clue/mudbath-locale/
Healthful getaway	crosswordtracker.com/clue/healthful-getaway-1/
Where fat cats get less fat	crosswordtracker.com/clue/where-fat-cats-get-less-fat/
Relaxing place	crosswordtracker.com/clue/relaxing-place-1/
Mani-pedi place	crosswordtracker.com/clue/mani-pedi-place/
It might make you sweat	crosswordtracker.com/clue/it-might-make-you-sweat/
Hydrotherapy haven	crosswordtracker.com/clue/hydrotherapy-haven/
Belgian resort town	crosswordtracker.com/clue/belgian-resort-town/
Bath, for one	crosswordtracker.com/clue/bath-for-one/
Workout site	crosswordtracker.com/clue/workout-site/
Masseur's milieu	crosswordtracker.com/clue/masseurs-milieu/
Destination for the pampered	crosswordtracker.com/clue/destination-for-the-pampered/
Sweat site	crosswordtracker.com/clue/sweat-site/
Bachelorette party locale	crosswordtracker.com/clue/bachelorette-party-locale/
Springs for a vacation	crosswordtracker.com/clue/springs-for-a-vacation/
Resort feature	crosswordtracker.com/clue/resort-feature/
Resort with hot springs	crosswordtracker.com/clue/resort-with-hot-springs/
Baden-Baden, for one	crosswordtracker.com/clue/baden-baden-for-one/
Its customers may get steamed	crosswordtracker.com/clue/its-customers-may-get-steamed/
Five-star hotel amenity	crosswordtracker.com/clue/five-star-hotel-amenity/
Natural spring	crosswordtracker.com/clue/natural-spring/
New England soda fountain	crosswordtracker.com/clue/new-england-soda-fountain/
Resort for losers?	crosswordtracker.com/clue/resort-for-losers/
Exercise center	crosswordtracker.com/clue/exercise-center/
Site of rejuvenation	crosswordtracker.com/clue/site-of-rejuvenation/
Where one might get steamed	crosswordtracker.com/clue/where-one-might-get-steamed/
Health center	crosswordtracker.com/clue/health-center/
Rest area?	crosswordtracker.com/clue/rest-area-1/
Hydrotherapy venue	crosswordtracker.com/clue/hydrotherapy-venue/
Loser's place?	crosswordtracker.com/clue/losers-place/
Springs for a holiday?	crosswordtracker.com/clue/springs-for-a-holiday/
Place for sweaters	crosswordtracker.com/clue/place-for-sweaters-1/
Chic getaway	crosswordtracker.com/clue/chic-getaway-1/
Place to pamper oneself	crosswordtracker.com/clue/place-to-pamper-oneself/
Place with curative waters	crosswordtracker.com/clue/place-with-curative-waters/
Fat farm	crosswordtracker.com/clue/fat-farm-2/
Hot springs facility	crosswordtracker.com/clue/hot-springs-facility/
Place to refresh oneself	crosswordtracker.com/clue/place-to-refresh-oneself/
Where you might get steamed	crosswordtracker.com/clue/where-you-might-get-steamed/
Massage facility	crosswordtracker.com/clue/massage-facility/
Site of mineral waters	crosswordtracker.com/clue/site-of-mineral-waters/
Upscale hotel amenity	crosswordtracker.com/clue/upscale-hotel-amenity/
Resort of a sort	crosswordtracker.com/clue/resort-of-a-sort/
Where to find sweaters	crosswordtracker.com/clue/where-to-find-sweaters-1/
Where you might get into hot water	crosswordtracker.com/clue/where-you-might-get-into-hot-water-1/
Mud bath venue	crosswordtracker.com/clue/mud-bath-venue/
Balneotherapy venue	crosswordtracker.com/clue/balneotherapy-venue/
Where to get a massage	crosswordtracker.com/clue/where-to-get-a-massage-2/
Place to get a facial	crosswordtracker.com/clue/place-to-get-a-facial/
Masseur employer	crosswordtracker.com/clue/masseur-employer-1/
Aromatherapy locale	crosswordtracker.com/clue/aromatherapy-locale/
Recuperative resort	crosswordtracker.com/clue/recuperative-resort/
Steamy place	crosswordtracker.com/clue/steamy-place/
Mud-bath venue	crosswordtracker.com/clue/mud-bath-venue-1/
Fashionable resort	crosswordtracker.com/clue/fashionable-resort-2/
Workout facility	crosswordtracker.com/clue/workout-facility/
Health haven	crosswordtracker.com/clue/health-haven/
Sort of resort	crosswordtracker.com/clue/sort-of-resort/
Bath, e.g.	crosswordtracker.com/clue/bath-eg/
Menton is one	crosswordtracker.com/clue/menton-is-one/
Vichy, e.g.	crosswordtracker.com/clue/vichy-eg/
Room in the game Clue	crosswordtracker.com/clue/room-in-the-game-clue/
Where you might get a soaking	crosswordtracker.com/clue/where-you-might-get-a-soaking/
Royal Leamington feature	crosswordtracker.com/clue/royal-leamington-feature/
Luxury hotel feature	crosswordtracker.com/clue/luxury-hotel-feature-1/
Pedicure place	crosswordtracker.com/clue/pedicure-place/
Body shop?	crosswordtracker.com/clue/body-shop/
Where losing is intentional	crosswordtracker.com/clue/where-losing-is-intentional/
You can get soaked here	crosswordtracker.com/clue/you-can-get-soaked-here/
Facial spot	crosswordtracker.com/clue/facial-spot/
Where you may get into hot water	crosswordtracker.com/clue/where-you-may-get-into-hot-water/
Place to get a peel	crosswordtracker.com/clue/place-to-get-a-peel/
Jacuzzi setting	crosswordtracker.com/clue/jacuzzi-setting/
Tub with jets	crosswordtracker.com/clue/tub-with-jets/
Mud bath locale	crosswordtracker.com/clue/mud-bath-locale/
Facial place	crosswordtracker.com/clue/facial-place/
Cruise ship amenity	crosswordtracker.com/clue/cruise-ship-amenity/
Place for a body wrap	crosswordtracker.com/clue/place-for-a-body-wrap/
Masseur's employer, perhaps	crosswordtracker.com/clue/masseurs-employer-perhaps/
Resort with mud baths	crosswordtracker.com/clue/resort-with-mud-baths/
Makeover mecca	crosswordtracker.com/clue/makeover-mecca/
Place of therapeutic waters	crosswordtracker.com/clue/place-of-therapeutic-waters/
Hot tub with jets	crosswordtracker.com/clue/hot-tub-with-jets/
Place to get pampered	crosswordtracker.com/clue/place-to-get-pampered/
Place to look at sweaters?	crosswordtracker.com/clue/place-to-look-at-sweaters/
Site for three men in a tub?	crosswordtracker.com/clue/site-for-three-men-in-a-tub/
Resort with a mineral spring	crosswordtracker.com/clue/resort-with-a-mineral-spring/
Joint for health?	crosswordtracker.com/clue/joint-for-health/
Vichy, notably	crosswordtracker.com/clue/vichy-notably/
Treadmill site, perhaps	crosswordtracker.com/clue/treadmill-site-perhaps/
Resort with mineral springs	crosswordtracker.com/clue/resort-with-mineral-springs/
Body treatment venue	crosswordtracker.com/clue/body-treatment-venue/
Where fat cats get thin	crosswordtracker.com/clue/where-fat-cats-get-thin/
Workout center	crosswordtracker.com/clue/workout-center-1/
Spot for a soothing soak	crosswordtracker.com/clue/spot-for-a-soothing-soak/
Jetted bath	crosswordtracker.com/clue/jetted-bath/
Masseur's place	crosswordtracker.com/clue/masseurs-place/
Wet retreat	crosswordtracker.com/clue/wet-retreat/
Massage center	crosswordtracker.com/clue/massage-center/
Rest-cure facility	crosswordtracker.com/clue/rest-cure-facility/
Tub-sharing place	crosswordtracker.com/clue/tub-sharing-place/
New Age music player, often	crosswordtracker.com/clue/new-age-music-player-often/
Whirlpool tub	crosswordtracker.com/clue/whirlpool-tub/
Spring for a vacation?	crosswordtracker.com/clue/spring-for-a-vacation/
Exercise spot	crosswordtracker.com/clue/exercise-spot/
Get into hot water here	crosswordtracker.com/clue/get-into-hot-water-here/
Where it's good to get into hot water?	crosswordtracker.com/clue/where-its-good-to-get-into-hot-water/
Place to get a mud bath	crosswordtracker.com/clue/place-to-get-a-mud-bath/
Hydrotherapy spot	crosswordtracker.com/clue/hydrotherapy-spot/
Where you might get into hot water?	crosswordtracker.com/clue/where-you-might-get-into-hot-water/
Whirlpool locale	crosswordtracker.com/clue/whirlpool-locale/
Elite retreat	crosswordtracker.com/clue/elite-retreat/
Hydrotherapy locale	crosswordtracker.com/clue/hydrotherapy-locale/
Rest spot	crosswordtracker.com/clue/rest-spot/
Hot Springs, e.g.	crosswordtracker.com/clue/hot-springs-eg/
Masseur's workplace, maybe	crosswordtracker.com/clue/masseurs-workplace-maybe/
Bad Ems attraction	crosswordtracker.com/clue/bad-ems-attraction/
Place to chill out	crosswordtracker.com/clue/place-to-chill-out/
Rest cure locale	crosswordtracker.com/clue/rest-cure-locale/
Dieter's destination	crosswordtracker.com/clue/dieters-destination/
Steam bath site	crosswordtracker.com/clue/steam-bath-site-1/
Workout haven	crosswordtracker.com/clue/workout-haven/
Hot tub locale	crosswordtracker.com/clue/hot-tub-locale/
Healthy resort	crosswordtracker.com/clue/healthy-resort-1/
Place for a peel	crosswordtracker.com/clue/place-for-a-peel/
Anagram of "sap"	crosswordtracker.com/clue/anagram-of-sap/
Resort amenity	crosswordtracker.com/clue/resort-amenity/
Place to recuperate	crosswordtracker.com/clue/place-to-recuperate/
Where to sweat it out?	crosswordtracker.com/clue/where-to-sweat-it-out/
Town near Liège	crosswordtracker.com/clue/town-near-liege/
Eponymous Belgian town	crosswordtracker.com/clue/eponymous-belgian-town/
Bathing facility	crosswordtracker.com/clue/bathing-facility/
Jacuzzi site	crosswordtracker.com/clue/jacuzzi-site/
Resort in the Ardennes	crosswordtracker.com/clue/resort-in-the-ardennes/
It has springs	crosswordtracker.com/clue/it-has-springs/
Ballston ___, N.Y.	crosswordtracker.com/clue/ballston-___-ny/
Aix-les-Bains, e.g.	crosswordtracker.com/clue/aix-les-bains-eg/
Salubrious spot	crosswordtracker.com/clue/salubrious-spot/
Baden or Aix	crosswordtracker.com/clue/baden-or-aix/
Nautilus habitat	crosswordtracker.com/clue/nautilus-habitat/
Nautilus locale	crosswordtracker.com/clue/nautilus-locale/
Watering hole?	crosswordtracker.com/clue/watering-hole-8/
"Fat farm"	crosswordtracker.com/clue/fat-farm-4/
Fancy hotel	crosswordtracker.com/clue/fancy-hotel-3/
Place for relaxing	crosswordtracker.com/clue/place-for-relaxing/
Relaxation destination	crosswordtracker.com/clue/relaxation-destination/
Day getaway, perhaps	crosswordtracker.com/clue/day-getaway-perhaps/
Microdermabrasion site	crosswordtracker.com/clue/microdermabrasion-site/
Detoxifying place	crosswordtracker.com/clue/detoxifying-place/
Place for cardio and detox	crosswordtracker.com/clue/place-for-cardio-and-detox/
Evian or Carlsbad	crosswordtracker.com/clue/evian-or-carlsbad/
Gym alternative	crosswordtracker.com/clue/gym-alternative/
Treadmill site	crosswordtracker.com/clue/treadmill-site-1/
Leamington's attraction	crosswordtracker.com/clue/leamingtons-attraction/
Where one might find three men in a tub	crosswordtracker.com/clue/where-one-might-find-three-men-in-a-tub/
Relaxation spot	crosswordtracker.com/clue/relaxation-spot/
A fashionable hotel	crosswordtracker.com/clue/a-fashionable-hotel/
Restorative retreat	crosswordtracker.com/clue/restorative-retreat/
Soda fountain, in New England	crosswordtracker.com/clue/soda-fountain-in-new-england/
Pet protectors' org.	crosswordtracker.com/clue/pet-protectors-org/
Where you may find a sweater	crosswordtracker.com/clue/where-you-may-find-a-sweater/
Bright star in Virgo	crosswordtracker.com/clue/bright-star-in-virgo/
Place for the pampered	crosswordtracker.com/clue/place-for-the-pampered/
Invigorating spot	crosswordtracker.com/clue/invigorating-spot/
Hot bath	crosswordtracker.com/clue/hot-bath/
Hot water locale	crosswordtracker.com/clue/hot-water-locale/
Place with mud masks, often	crosswordtracker.com/clue/place-with-mud-masks-often/
Place with pumice stones	crosswordtracker.com/clue/place-with-pumice-stones/
Place to give yourself pleasure	crosswordtracker.com/clue/place-to-give-yourself-pleasure/
Reflexology place	crosswordtracker.com/clue/reflexology-place/
Place that often sells beauty products	crosswordtracker.com/clue/place-that-often-sells-beauty-products/
Hot stone massage spot	crosswordtracker.com/clue/hot-stone-massage-spot/
One may be situated near hot springs	crosswordtracker.com/clue/one-may-be-situated-near-hot-springs/
Place to get rid of knots	crosswordtracker.com/clue/place-to-get-rid-of-knots/
Massage site	crosswordtracker.com/clue/massage-site/
Brit's hydro, in the States	crosswordtracker.com/clue/brits-hydro-in-the-states/
Rejuvenation place	crosswordtracker.com/clue/rejuvenation-place/
Club with a tub	crosswordtracker.com/clue/club-with-a-tub/
Mudpack site	crosswordtracker.com/clue/mudpack-site/
Backyard bubbler	crosswordtracker.com/clue/backyard-bubbler/
Place for sweating	crosswordtracker.com/clue/place-for-sweating/
Treatment place	crosswordtracker.com/clue/treatment-place/
Cape Cod soda fountain	crosswordtracker.com/clue/cape-cod-soda-fountain/
Mineral spring with an ASP in it?	crosswordtracker.com/clue/mineral-spring-with-an-asp-in-it/
Luxurious getaway	crosswordtracker.com/clue/luxurious-getaway/
Its jets cause turbulence	crosswordtracker.com/clue/its-jets-cause-turbulence/
Massage offerer	crosswordtracker.com/clue/massage-offerer/
Rejuvenation resort	crosswordtracker.com/clue/rejuvenation-resort/
Dieter's resort	crosswordtracker.com/clue/dieters-resort/
Belgian Grand Prix town	crosswordtracker.com/clue/belgian-grand-prix-town/
Springs for a vacation?	crosswordtracker.com/clue/springs-for-a-vacation-1/
Bad Ems or Baden-Baden	crosswordtracker.com/clue/bad-ems-or-baden-baden/
Rejuvenating retreat	crosswordtracker.com/clue/rejuvenating-retreat/
Balneotherapy site	crosswordtracker.com/clue/balneotherapy-site/
Facial center	crosswordtracker.com/clue/facial-center/
Pool with jets	crosswordtracker.com/clue/pool-with-jets/
Curative spot	crosswordtracker.com/clue/curative-spot/
Magazine subtitled "Healthy Living, Travel and Renewal"	crosswordtracker.com/clue/magazine-subtitled-healthy-living-travel-and-renewal/
Where to see algae wraps	crosswordtracker.com/clue/where-to-see-algae-wraps/
Hotel feature, often	crosswordtracker.com/clue/hotel-feature-often/
Resort for relaxation	crosswordtracker.com/clue/resort-for-relaxation/
Joint that's good for the joints	crosswordtracker.com/clue/joint-thats-good-for-the-joints/
Clean getaway?	crosswordtracker.com/clue/clean-getaway/
Spring retreat?	crosswordtracker.com/clue/spring-retreat/
Hot Springs or Bath	crosswordtracker.com/clue/hot-springs-or-bath/
Canyon Ranch offering	crosswordtracker.com/clue/canyon-ranch-offering/
Relaxing vacation destination	crosswordtracker.com/clue/relaxing-vacation-destination/
Therapeutic spot	crosswordtracker.com/clue/therapeutic-spot/
Healthy stop	crosswordtracker.com/clue/healthy-stop/
Healthy place	crosswordtracker.com/clue/healthy-place/
Luxurious vacation spot	crosswordtracker.com/clue/luxurious-vacation-spot/
Losing ground?	crosswordtracker.com/clue/losing-ground/
Place for relaxation	crosswordtracker.com/clue/place-for-relaxation/
Relaxation resort	crosswordtracker.com/clue/relaxation-resort/
De-tension camp?	crosswordtracker.com/clue/de-tension-camp/
Where to go for balneotherapy	crosswordtracker.com/clue/where-to-go-for-balneotherapy/
Sauna setting	crosswordtracker.com/clue/sauna-setting/
Healthful getaway destination	crosswordtracker.com/clue/healthful-getaway-destination/
Resort hidden in the five longest puzzle answers	crosswordtracker.com/clue/resort-hidden-in-the-five-longest-puzzle-answers/
Massage spot	crosswordtracker.com/clue/massage-spot/
Reduction facility	crosswordtracker.com/clue/reduction-facility/
Hot spring, perhaps	crosswordtracker.com/clue/hot-spring-perhaps/
Evian attraction	crosswordtracker.com/clue/evian-attraction/
Baden-Baden or Aix-les-bains, e.g.	crosswordtracker.com/clue/baden-baden-or-aix-les-bains-eg/
Where some losers hang out?	crosswordtracker.com/clue/where-some-losers-hang-out/
Massage palace	crosswordtracker.com/clue/massage-palace/
Perspiration site	crosswordtracker.com/clue/perspiration-site/
Vichy, for one	crosswordtracker.com/clue/vichy-for-one/
Mud wrap spot	crosswordtracker.com/clue/mud-wrap-spot/
Relaxation center	crosswordtracker.com/clue/relaxation-center/
Whirlpool bath	crosswordtracker.com/clue/whirlpool-bath-1/
Invigorating place	crosswordtracker.com/clue/invigorating-place/
Indulgent place	crosswordtracker.com/clue/indulgent-place/
Sweat-and-soak site	crosswordtracker.com/clue/sweat-and-soak-site/
Where to take a mud bath	crosswordtracker.com/clue/where-to-take-a-mud-bath/
Relaxing getaway place	crosswordtracker.com/clue/relaxing-getaway-place/
Health-and-beauty center	crosswordtracker.com/clue/health-and-beauty-center/
Place for a vacation	crosswordtracker.com/clue/place-for-a-vacation/
Steam bath place	crosswordtracker.com/clue/steam-bath-place/
Relaxing site	crosswordtracker.com/clue/relaxing-site/
Place for hydrotherapy	crosswordtracker.com/clue/place-for-hydrotherapy/
Place to get naked, perhaps	crosswordtracker.com/clue/place-to-get-naked-perhaps/
Facility with a jacuzzi	crosswordtracker.com/clue/facility-with-a-jacuzzi/
Jacuzzi, e.g.	crosswordtracker.com/clue/jacuzzi-eg/
Relaxation facility	crosswordtracker.com/clue/relaxation-facility/
Masseuse's workplace	crosswordtracker.com/clue/masseuses-workplace/
Relaxing salon	crosswordtracker.com/clue/relaxing-salon/
Place for a pedicure	crosswordtracker.com/clue/place-for-a-pedicure/
Place to lounge around in a bathrobe	crosswordtracker.com/clue/place-to-lounge-around-in-a-bathrobe/
Spot for a massage	crosswordtracker.com/clue/spot-for-a-massage/
Steamy resort	crosswordtracker.com/clue/steamy-resort/
Where to get a massage and a mudbath	crosswordtracker.com/clue/where-to-get-a-massage-and-a-mudbath/
Upscale hotel offering	crosswordtracker.com/clue/upscale-hotel-offering/
Place for a mudbath	crosswordtracker.com/clue/place-for-a-mudbath/
Place that might feature a sauna	crosswordtracker.com/clue/place-that-might-feature-a-sauna/
Mineral ___	crosswordtracker.com/clue/mineral-___/
Place to get a mudbath or massage	crosswordtracker.com/clue/place-to-get-a-mudbath-or-massage/
Health ___	crosswordtracker.com/clue/health-___/
Place for R&R	crosswordtracker.com/clue/place-for-rr/
Where you may get steamed	crosswordtracker.com/clue/where-you-may-get-steamed/
Rejuvenation location	crosswordtracker.com/clue/rejuvenation-location/
Hot springs site	crosswordtracker.com/clue/hot-springs-site/
Four-star hotel amenity	crosswordtracker.com/clue/four-star-hotel-amenity/
Escape from the rat race	crosswordtracker.com/clue/escape-from-the-rat-race/
Hydrotherapy provider	crosswordtracker.com/clue/hydrotherapy-provider/
Where one might get into hot water	crosswordtracker.com/clue/where-one-might-get-into-hot-water/
Rest cure destination	crosswordtracker.com/clue/rest-cure-destination/
Mud bath spot	crosswordtracker.com/clue/mud-bath-spot/
It might let off some steam	crosswordtracker.com/clue/it-might-let-off-some-steam/
Place for jets	crosswordtracker.com/clue/place-for-jets/
Pool site	crosswordtracker.com/clue/pool-site-1/
Place to find sweaters	crosswordtracker.com/clue/place-to-find-sweaters/
Restorative place	crosswordtracker.com/clue/restorative-place/
Place for a treatment	crosswordtracker.com/clue/place-for-a-treatment/
Hot stone massage place	crosswordtracker.com/clue/hot-stone-massage-place/
Refreshing place	crosswordtracker.com/clue/refreshing-place/
Recuperative spot	crosswordtracker.com/clue/recuperative-spot/
Evian-les-Bains, e.g.	crosswordtracker.com/clue/evian-les-bains-eg/
Place for complimentary bathrobes	crosswordtracker.com/clue/place-for-complimentary-bathrobes/
It might have a splashy opening	crosswordtracker.com/clue/it-might-have-a-splashy-opening/
Masseuse's employer	crosswordtracker.com/clue/masseuses-employer/
Acupuncturist's arena	crosswordtracker.com/clue/acupuncturists-arena/
Health and wellness facility	crosswordtracker.com/clue/health-and-wellness-facility/
Place to get a mudbath	crosswordtracker.com/clue/place-to-get-a-mudbath-1/
Pool hall?	crosswordtracker.com/clue/pool-hall-11/
"Star Wars" and "Battlestar Galactica"	crosswordtracker.com/clue/star-wars-and-battlestar-galactica/
Thalassotherapy site	crosswordtracker.com/clue/thalassotherapy-site/
Day __	crosswordtracker.com/clue/day-__-8/
Place for a rest cure	crosswordtracker.com/clue/place-for-a-rest-cure/
Where folks get into hot water	crosswordtracker.com/clue/where-folks-get-into-hot-water/
Where the robed are rubbed	crosswordtracker.com/clue/where-the-robed-are-rubbed/
Spot for a facial	crosswordtracker.com/clue/spot-for-a-facial/
Luxury resort amenity	crosswordtracker.com/clue/luxury-resort-amenity/
Where a mask may be worn	crosswordtracker.com/clue/where-a-mask-may-be-worn/
Cruise ship facility	crosswordtracker.com/clue/cruise-ship-facility/
Where exfoliation may occur	crosswordtracker.com/clue/where-exfoliation-may-occur/
Resort for reducers	crosswordtracker.com/clue/resort-for-reducers/
Reducing salon	crosswordtracker.com/clue/reducing-salon/
Aromatherapy site	crosswordtracker.com/clue/aromatherapy-site/
Resort with springs	crosswordtracker.com/clue/resort-with-springs/
Where to get a mudbath	crosswordtracker.com/clue/where-to-get-a-mudbath/
Place for a Jacuzzi	crosswordtracker.com/clue/place-for-a-jacuzzi/
Mud treatment setting	crosswordtracker.com/clue/mud-treatment-setting/
Luxury retreat	crosswordtracker.com/clue/luxury-retreat/
Restful retreat	crosswordtracker.com/clue/restful-retreat/
Mud wrap venue	crosswordtracker.com/clue/mud-wrap-venue/
Place to take a cure	crosswordtracker.com/clue/place-to-take-a-cure/
Tub with a whirlpool	crosswordtracker.com/clue/tub-with-a-whirlpool/
Hot resort?	crosswordtracker.com/clue/hot-resort/
Where to do some bodywork?	crosswordtracker.com/clue/where-to-do-some-bodywork/
Spot for three men in a tub?	crosswordtracker.com/clue/spot-for-three-men-in-a-tub/
Pool locale	crosswordtracker.com/clue/pool-locale/
Vichy or Évian	crosswordtracker.com/clue/vichy-or-evian/
Travel Channel stopover	crosswordtracker.com/clue/travel-channel-stopover/
Place to share a tub	crosswordtracker.com/clue/place-to-share-a-tub/
Place in which to luxuriate	crosswordtracker.com/clue/place-in-which-to-luxuriate/
Baden-Baden or Évian	crosswordtracker.com/clue/baden-baden-or-evian/
Spring for refreshments	crosswordtracker.com/clue/spring-for-refreshments/
Fancy home amenity	crosswordtracker.com/clue/fancy-home-amenity/
Luxury hotel facility	crosswordtracker.com/clue/luxury-hotel-facility/
Venue of indulgence	crosswordtracker.com/clue/venue-of-indulgence/
Restful place	crosswordtracker.com/clue/restful-place/
Rest and relaxation site	crosswordtracker.com/clue/rest-and-relaxation-site/
Workout hangout	crosswordtracker.com/clue/workout-hangout/
Place for a mani-pedi	crosswordtracker.com/clue/place-for-a-mani-pedi/
Place where you can get into hot water	crosswordtracker.com/clue/place-where-you-can-get-into-hot-water/
Waxing offerer	crosswordtracker.com/clue/waxing-offerer/
Place to sweat	crosswordtracker.com/clue/place-to-sweat/
Hot springs locale	crosswordtracker.com/clue/hot-springs-locale/
Where to get soaked?	crosswordtracker.com/clue/where-to-get-soaked/
Body wrap offerer	crosswordtracker.com/clue/body-wrap-offerer/
Mineral spring site	crosswordtracker.com/clue/mineral-spring-site/
Spot for a peel	crosswordtracker.com/clue/spot-for-a-peel/
England's Harrogate, e.g.	crosswordtracker.com/clue/englands-harrogate-eg/
Place for a little R and R	crosswordtracker.com/clue/place-for-a-little-r-and-r/
Steamboat Springs, Colo., for one	crosswordtracker.com/clue/steamboat-springs-colo-for-one/
Bath or Évian	crosswordtracker.com/clue/bath-or-evian/
Where some losers hang out	crosswordtracker.com/clue/where-some-losers-hang-out-1/
Trainer's workplace, perhaps	crosswordtracker.com/clue/trainers-workplace-perhaps/
It might afford a remedy	crosswordtracker.com/clue/it-might-afford-a-remedy/
Site of many losses	crosswordtracker.com/clue/site-of-many-losses/
Workout locale	crosswordtracker.com/clue/workout-locale-2/
Bath installation	crosswordtracker.com/clue/bath-installation/
Recovery place	crosswordtracker.com/clue/recovery-place/
