Actor Baldwin	crosswordtracker.com/clue/actor-baldwin/
Sandler of "You Don't Mess with the Zohan"	crosswordtracker.com/clue/sandler-of-you-dont-mess-with-the-zohan/
Sandler of "The Wedding Singer"	crosswordtracker.com/clue/sandler-of-the-wedding-singer/
''Bonanza'' role	crosswordtracker.com/clue/bonanza-role/
Ant who sings	crosswordtracker.com/clue/ant-who-sings/
Father of Cain and Abel	crosswordtracker.com/clue/father-of-cain-and-abel/
First of billions	crosswordtracker.com/clue/first-of-billions/
Eve's partner	crosswordtracker.com/clue/eves-partner/
"Madam, I'm ___"	crosswordtracker.com/clue/madam-im-___/
Creation on the sixth day	crosswordtracker.com/clue/creation-on-the-sixth-day/
Man who was never born	crosswordtracker.com/clue/man-who-was-never-born/
First person	crosswordtracker.com/clue/first-person-20/
Being No. 1?	crosswordtracker.com/clue/being-no-1/
As old as ___	crosswordtracker.com/clue/as-old-as-___/
"Giselle" composer	crosswordtracker.com/clue/giselle-composer/
Early fruit fancier	crosswordtracker.com/clue/early-fruit-fancier/
Costa loser	crosswordtracker.com/clue/costa-loser/
Early gardener?	crosswordtracker.com/clue/early-gardener/
The #1 guy?	crosswordtracker.com/clue/the-1-guy/
An apple was named after him	crosswordtracker.com/clue/an-apple-was-named-after-him/
Sistine ceiling figure	crosswordtracker.com/clue/sistine-ceiling-figure/
Genesis progenitor	crosswordtracker.com/clue/genesis-progenitor/
First grandfather	crosswordtracker.com/clue/first-grandfather/
Sistine Chapel subject	crosswordtracker.com/clue/sistine-chapel-subject/
"Back to the Batcave" autobiographer West	crosswordtracker.com/clue/back-to-the-batcave-autobiographer-west/
Cain and Abel's dad	crosswordtracker.com/clue/cain-and-abels-dad/
West of Gotham City	crosswordtracker.com/clue/west-of-gotham-city/
Eve's spouse	crosswordtracker.com/clue/eves-spouse/
Actor Sandler	crosswordtracker.com/clue/actor-sandler/
He raised Cain	crosswordtracker.com/clue/he-raised-cain/
Figure in a fall	crosswordtracker.com/clue/figure-in-a-fall/
Garden of Eden figure	crosswordtracker.com/clue/garden-of-eden-figure/
"I don't know him from ___"	crosswordtracker.com/clue/i-dont-know-him-from-___/
"The Wealth of Nations" philosopher Smith	crosswordtracker.com/clue/the-wealth-of-nations-philosopher-smith/
Silly Sandler	crosswordtracker.com/clue/silly-sandler/
Sandler of "Happy Gilmore"	crosswordtracker.com/clue/sandler-of-happy-gilmore/
Figure on the ceiling of the Sistine Chapel	crosswordtracker.com/clue/figure-on-the-ceiling-of-the-sistine-chapel/
Figure on the Sistine Chapel ceiling	crosswordtracker.com/clue/figure-on-the-sistine-chapel-ceiling/
First lady's man	crosswordtracker.com/clue/first-ladys-man/
Disgraced gardener	crosswordtracker.com/clue/disgraced-gardener/
''Batman'' actor West	crosswordtracker.com/clue/batman-actor-west/
Ben Cartwright's eldest	crosswordtracker.com/clue/ben-cartwrights-eldest/
Being number one?	crosswordtracker.com/clue/being-number-one/
A Ponderosa son	crosswordtracker.com/clue/a-ponderosa-son/
Father of Seth	crosswordtracker.com/clue/father-of-seth/
"The Wealth of Nations" author Smith	crosswordtracker.com/clue/the-wealth-of-nations-author-smith/
Comedian Sandler	crosswordtracker.com/clue/comedian-sandler/
Noted exile	crosswordtracker.com/clue/noted-exile-2/
Grandfather of Enos	crosswordtracker.com/clue/grandfather-of-enos/
Rodin sculpture at the Met	crosswordtracker.com/clue/rodin-sculpture-at-the-met/
Biblical evictee	crosswordtracker.com/clue/biblical-evictee/
Sandler of Hollywood	crosswordtracker.com/clue/sandler-of-hollywood/
TV Batman West	crosswordtracker.com/clue/tv-batman-west/
First name	crosswordtracker.com/clue/first-name-374/
"Happy Gilmore" actor Sandler	crosswordtracker.com/clue/happy-gilmore-actor-sandler/
Seth's father	crosswordtracker.com/clue/seths-father/
Original donor	crosswordtracker.com/clue/original-donor/
First husband?	crosswordtracker.com/clue/first-husband-1/
Unborn person?	crosswordtracker.com/clue/unborn-person/
First father	crosswordtracker.com/clue/first-father/
"Batman" actor West	crosswordtracker.com/clue/batman-actor-west-1/
Man in a garden	crosswordtracker.com/clue/man-in-a-garden/
Genesis father of three	crosswordtracker.com/clue/genesis-father-of-three/
Eden inhabitant	crosswordtracker.com/clue/eden-inhabitant/
An original sinner	crosswordtracker.com/clue/an-original-sinner/
Rocker Ant	crosswordtracker.com/clue/rocker-ant/
A Cartwright	crosswordtracker.com/clue/a-cartwright/
_____ Clayton Powell	crosswordtracker.com/clue/_____-clayton-powell/
Rib donor	crosswordtracker.com/clue/rib-donor/
Everyone's ancestor	crosswordtracker.com/clue/everyones-ancestor/
Style of furniture	crosswordtracker.com/clue/style-of-furniture/
"___ Bede" (George Eliot novel)	crosswordtracker.com/clue/___-bede-george-eliot-novel/
Former "Loveline" host Carolla	crosswordtracker.com/clue/former-loveline-host-carolla/
U2 bassist Clayton	crosswordtracker.com/clue/u2-bassist-clayton/
West of Gotham	crosswordtracker.com/clue/west-of-gotham-3/
He could give a first-person account	crosswordtracker.com/clue/he-could-give-a-first-person-account/
First man on the scene	crosswordtracker.com/clue/first-man-on-the-scene/
"Bonanza" son	crosswordtracker.com/clue/bonanza-son-2/
One of the Ponderosa boys	crosswordtracker.com/clue/one-of-the-ponderosa-boys/
Race starter	crosswordtracker.com/clue/race-starter-3/
Horovitz or Yauch	crosswordtracker.com/clue/horovitz-or-yauch/
Man before there were men	crosswordtracker.com/clue/man-before-there-were-men/
Everyone's ancestor, ostensibly	crosswordtracker.com/clue/everyones-ancestor-ostensibly/
Man before men	crosswordtracker.com/clue/man-before-men/
Man who's first in line?	crosswordtracker.com/clue/man-whos-first-in-line/
Sandler of ''The Longest Yard''	crosswordtracker.com/clue/sandler-of-the-longest-yard/
It took six days for him to appear on the scene	crosswordtracker.com/clue/it-took-six-days-for-him-to-appear-on-the-scene/
One with a first-person account	crosswordtracker.com/clue/one-with-a-first-person-account/
Sandler of "Billy Madison"	crosswordtracker.com/clue/sandler-of-billy-madison/
First person in the Bible	crosswordtracker.com/clue/first-person-in-the-bible/
Man without a bellybutton?	crosswordtracker.com/clue/man-without-a-bellybutton/
Sistine ceiling subject	crosswordtracker.com/clue/sistine-ceiling-subject/
Famous evictee	crosswordtracker.com/clue/famous-evictee/
Biblical bone donor	crosswordtracker.com/clue/biblical-bone-donor/
Eve preceder	crosswordtracker.com/clue/eve-preceder/
Common ancestor?	crosswordtracker.com/clue/common-ancestor/
Husband of Eve	crosswordtracker.com/clue/husband-of-eve/
Eden gardener	crosswordtracker.com/clue/eden-gardener/
Pioneer gardener?	crosswordtracker.com/clue/pioneer-gardener/
''Madam, I'm __''	crosswordtracker.com/clue/madam-im-__/
Eden figure	crosswordtracker.com/clue/eden-figure/
Early forefather?	crosswordtracker.com/clue/early-forefather/
Hoss' big brother	crosswordtracker.com/clue/hoss-big-brother/
First family father	crosswordtracker.com/clue/first-family-father/
"__-12": '60s-'70s police drama	crosswordtracker.com/clue/__-12-60s-70s-police-drama/
''___-12,'' cop drama	crosswordtracker.com/clue/___-12-cop-drama/
Guy in a garden	crosswordtracker.com/clue/guy-in-a-garden/
Garden of Eden evictee	crosswordtracker.com/clue/garden-of-eden-evictee/
Abel's dad	crosswordtracker.com/clue/abels-dad/
First husband	crosswordtracker.com/clue/first-husband/
Garden of Eden guy	crosswordtracker.com/clue/garden-of-eden-guy/
Man related to everyone	crosswordtracker.com/clue/man-related-to-everyone/
"For Your Entertainment" singer Lambert	crosswordtracker.com/clue/for-your-entertainment-singer-lambert/
Sistine fresco figure	crosswordtracker.com/clue/sistine-fresco-figure/
See 93A	crosswordtracker.com/clue/see-93a/
First bone transplant donor?	crosswordtracker.com/clue/first-bone-transplant-donor/
Eve's Garden of Eden partner	crosswordtracker.com/clue/eves-garden-of-eden-partner/
Sistine Chapel fresco figure	crosswordtracker.com/clue/sistine-chapel-fresco-figure/
The younger Arkin	crosswordtracker.com/clue/the-younger-arkin/
___ West (Batman man)	crosswordtracker.com/clue/___-west-batman-man/
Batman, to Burt's Robin	crosswordtracker.com/clue/batman-to-burts-robin/
Sandler or Smith	crosswordtracker.com/clue/sandler-or-smith/
Sandler on the screen	crosswordtracker.com/clue/sandler-on-the-screen/
First in the race?	crosswordtracker.com/clue/first-in-the-race/
Sandler of "Click"	crosswordtracker.com/clue/sandler-of-click/
Arkin of "Chicago Hope"	crosswordtracker.com/clue/arkin-of-chicago-hope/
West of Gotham City fame	crosswordtracker.com/clue/west-of-gotham-city-fame/
Ponderosa boy	crosswordtracker.com/clue/ponderosa-boy/
''Bonanza'' son	crosswordtracker.com/clue/bonanza-son-1/
First person to be ribbed	crosswordtracker.com/clue/first-person-to-be-ribbed/
Zohan portrayer Sandler	crosswordtracker.com/clue/zohan-portrayer-sandler/
Gardener number one	crosswordtracker.com/clue/gardener-number-one/
First lady's man?	crosswordtracker.com/clue/first-ladys-man-1/
Displaced gardener	crosswordtracker.com/clue/displaced-gardener/
Ant or West	crosswordtracker.com/clue/ant-or-west/
Man of Genesis	crosswordtracker.com/clue/man-of-genesis/
The number one guy?	crosswordtracker.com/clue/the-number-one-guy/
Garden of Eden resident	crosswordtracker.com/clue/garden-of-eden-resident/
"___ Bede" (George Eliot's first novel)	crosswordtracker.com/clue/___-bede-george-eliots-first-novel/
West of Gotham City?	crosswordtracker.com/clue/west-of-gotham-city-2/
Man without a mother	crosswordtracker.com/clue/man-without-a-mother/
Brother on "Bonanza"	crosswordtracker.com/clue/brother-on-bonanza/
Singer Lambert	crosswordtracker.com/clue/singer-lambert/
Smith of note	crosswordtracker.com/clue/smith-of-note/
Singer Lambert, runner-up on the 2009 "American Idol"	crosswordtracker.com/clue/singer-lambert-runner-up-on-the-2009-american-idol/
Fictional inspector Dalgliesh	crosswordtracker.com/clue/fictional-inspector-dalgliesh/
One cast out of paradise	crosswordtracker.com/clue/one-cast-out-of-paradise/
The first prophet of God, in Islam	crosswordtracker.com/clue/the-first-prophet-of-god-in-islam/
He's seen on the ceiling of the Sistine Chapel	crosswordtracker.com/clue/hes-seen-on-the-ceiling-of-the-sistine-chapel/
"Fall" guy	crosswordtracker.com/clue/fall-guy-6/
Faithful servant in "As You Like It"	crosswordtracker.com/clue/faithful-servant-in-as-you-like-it/
First among men	crosswordtracker.com/clue/first-among-men/
Exile of note	crosswordtracker.com/clue/exile-of-note/
Party of the first part?	crosswordtracker.com/clue/party-of-the-first-part-1/
First one	crosswordtracker.com/clue/first-one-3/
Provider of the first bone transplant?	crosswordtracker.com/clue/provider-of-the-first-bone-transplant/
Place kicker Vinatieri	crosswordtracker.com/clue/place-kicker-vinatieri/
Genesis fall guy	crosswordtracker.com/clue/genesis-fall-guy/
Cain's dad	crosswordtracker.com/clue/cains-dad/
To whom God said "You are dust, and to dust you shall return"	crosswordtracker.com/clue/to-whom-god-said-you-are-dust-and-to-dust-you-shall-return/
First Prophet of Islam	crosswordtracker.com/clue/first-prophet-of-islam/
Someone who could give a first-person account?	crosswordtracker.com/clue/someone-who-could-give-a-first-person-account/
Sandler of "Spanglish"	crosswordtracker.com/clue/sandler-of-spanglish/
West of "Batman"	crosswordtracker.com/clue/west-of-batman/
Genesis 2 name	crosswordtracker.com/clue/genesis-2-name/
"The Wedding Singer" star Sandler	crosswordtracker.com/clue/the-wedding-singer-star-sandler/
Sandler of "Grown Ups"	crosswordtracker.com/clue/sandler-of-grown-ups/
Founding father?	crosswordtracker.com/clue/founding-father-4/
Someone with a first-person account?	crosswordtracker.com/clue/someone-with-a-first-person-account/
Michelangelo's fresco "The Creation of ___"	crosswordtracker.com/clue/michelangelos-fresco-the-creation-of-___/
Australian golfer __ Scott	crosswordtracker.com/clue/australian-golfer-__-scott/
Noted rib donor	crosswordtracker.com/clue/noted-rib-donor/
Sandler of "Little Nicky"	crosswordtracker.com/clue/sandler-of-little-nicky/
Sistine Chapel chap	crosswordtracker.com/clue/sistine-chapel-chap/
He has an apple named after him?	crosswordtracker.com/clue/he-has-an-apple-named-after-him/
Evictee from paradise	crosswordtracker.com/clue/evictee-from-paradise/
Polish poet Mickiewicz	crosswordtracker.com/clue/polish-poet-mickiewicz/
Genesis gentleman	crosswordtracker.com/clue/genesis-gentleman/
Man on first?	crosswordtracker.com/clue/man-on-first/
Man in Eden	crosswordtracker.com/clue/man-in-eden/
___ Clayton Powell Jr.	crosswordtracker.com/clue/___-clayton-powell-jr/
Man cast out of paradise	crosswordtracker.com/clue/man-cast-out-of-paradise/
Eve's predecessor	crosswordtracker.com/clue/eves-predecessor/
___ West of "Batman"	crosswordtracker.com/clue/___-west-of-batman/
One there in the first place	crosswordtracker.com/clue/one-there-in-the-first-place/
First of its kind?	crosswordtracker.com/clue/first-of-its-kind/
First given name in the Bible	crosswordtracker.com/clue/first-given-name-in-the-bible/
Famous rib donor	crosswordtracker.com/clue/famous-rib-donor/
Garden of Eden man	crosswordtracker.com/clue/garden-of-eden-man/
1910 Rodin sculpture at the Met	crosswordtracker.com/clue/1910-rodin-sculpture-at-the-met/
Dweller in Paradise	crosswordtracker.com/clue/dweller-in-paradise/
Classic Rodin sculpture	crosswordtracker.com/clue/classic-rodin-sculpture/
Not know from ___	crosswordtracker.com/clue/not-know-from-___/
One of TV's Cartwrights	crosswordtracker.com/clue/one-of-tvs-cartwrights/
Man with a spare rib?	crosswordtracker.com/clue/man-with-a-spare-rib/
Cain was his son	crosswordtracker.com/clue/cain-was-his-son/
Figure in a famous Sistine Chapel fresco	crosswordtracker.com/clue/figure-in-a-famous-sistine-chapel-fresco/
Sandler of comedy	crosswordtracker.com/clue/sandler-of-comedy/
Sandler who played Opera Man on "SNL"	crosswordtracker.com/clue/sandler-who-played-opera-man-on-snl/
One of Ben's boys on "Bonanza"	crosswordtracker.com/clue/one-of-bens-boys-on-bonanza/
"___ / Had 'em" (classic two-line poem about fleas)	crosswordtracker.com/clue/___-had-em-classic-two-line-poem-about-fleas/
West who played Batman	crosswordtracker.com/clue/west-who-played-batman/
French pianist-composer	crosswordtracker.com/clue/french-pianist-composer/
Original man	crosswordtracker.com/clue/original-man/
A first mate	crosswordtracker.com/clue/a-first-mate/
Enoch's grandfather	crosswordtracker.com/clue/enochs-grandfather/
TV's "___-12"	crosswordtracker.com/clue/tvs-___-12/
He was ribbed	crosswordtracker.com/clue/he-was-ribbed/
Memorable pome taster	crosswordtracker.com/clue/memorable-pome-taster/
Number-one man	crosswordtracker.com/clue/number-one-man/
"Cantique de Noël" composer	crosswordtracker.com/clue/cantique-de-noel-composer/
Apple of Eve's eye?	crosswordtracker.com/clue/apple-of-eves-eye/
A Trask in "East of Eden"	crosswordtracker.com/clue/a-trask-in-east-of-eden/
First of all of us	crosswordtracker.com/clue/first-of-all-of-us/
Comic-opera composer Adolphe ___	crosswordtracker.com/clue/comic-opera-composer-adolphe-___/
Brother of Hoss and Little Joe	crosswordtracker.com/clue/brother-of-hoss-and-little-joe/
First bone donor	crosswordtracker.com/clue/first-bone-donor/
Fatherless fellow	crosswordtracker.com/clue/fatherless-fellow/
Paradise evictee	crosswordtracker.com/clue/paradise-evictee/
Human #1	crosswordtracker.com/clue/human-1/
Sandler of "Saturday Night Live"	crosswordtracker.com/clue/sandler-of-saturday-night-live/
Not know from _____	crosswordtracker.com/clue/not-know-from-_____/
Edenite	crosswordtracker.com/clue/edenite/
One of the Arkins	crosswordtracker.com/clue/one-of-the-arkins/
TV's "___ 12"	crosswordtracker.com/clue/tvs-___-12-1/
Eden's proprietor	crosswordtracker.com/clue/edens-proprietor/
Eliot's "___ Bede"	crosswordtracker.com/clue/eliots-___-bede/
West of Batman fame	crosswordtracker.com/clue/west-of-batman-fame/
First person to take a ribbing	crosswordtracker.com/clue/first-person-to-take-a-ribbing/
West of "Batman" fame	crosswordtracker.com/clue/west-of-batman-fame-1/
"___ 12," TV oldie	crosswordtracker.com/clue/___-12-tv-oldie/
The first lover	crosswordtracker.com/clue/the-first-lover/
French composer Adolphe ___	crosswordtracker.com/clue/french-composer-adolphe-___/
A memorable Powell	crosswordtracker.com/clue/a-memorable-powell/
English furniture style	crosswordtracker.com/clue/english-furniture-style/
He sounds like a bomb, kind of	crosswordtracker.com/clue/he-sounds-like-a-bomb-kind-of/
G. Eliot's "___ Bede"	crosswordtracker.com/clue/g-eliots-___-bede/
First donor?	crosswordtracker.com/clue/first-donor/
Second sinner	crosswordtracker.com/clue/second-sinner/
Bede or Smith	crosswordtracker.com/clue/bede-or-smith/
G. Eliot drew a Bede on him	crosswordtracker.com/clue/g-eliot-drew-a-bede-on-him/
One of the Smiths	crosswordtracker.com/clue/one-of-the-smiths/
Rock star Ant	crosswordtracker.com/clue/rock-star-ant/
Rocker ___ Ant	crosswordtracker.com/clue/rocker-___-ant/
Smith who wrote The Theory of Moral Sentiments	crosswordtracker.com/clue/smith-who-wrote-the-theory-of-moral-sentiments/
Book of Genesis character	crosswordtracker.com/clue/book-of-genesis-character/
Diarist in a Mark Twain story	crosswordtracker.com/clue/diarist-in-a-mark-twain-story/
Title dad in a comic strip by Brian Basset	crosswordtracker.com/clue/title-dad-in-a-comic-strip-by-brian-basset/
Counting Crows singer Duritz	crosswordtracker.com/clue/counting-crows-singer-duritz/
Brody of "The O.C."	crosswordtracker.com/clue/brody-of-the-oc/
Placekicker Vinatieri	crosswordtracker.com/clue/placekicker-vinatieri/
Relief pitcher Wainwright	crosswordtracker.com/clue/relief-pitcher-wainwright/
Pacman Jones's real first name	crosswordtracker.com/clue/pacman-joness-real-first-name/
Apple	crosswordtracker.com/clue/apple-358/
Goldberg of "2 Days in Paris"	crosswordtracker.com/clue/goldberg-of-2-days-in-paris/
District attorney Schiff on "Law & Order"	crosswordtracker.com/clue/district-attorney-schiff-on-law-order/
Sandler of I Now Pronounce You Chuck and Larry	crosswordtracker.com/clue/sandler-of-i-now-pronounce-you-chuck-and-larry/
Bassist Schlesinger of Fountains of Wayne	crosswordtracker.com/clue/bassist-schlesinger-of-fountains-of-wayne/
Colts placekicker Vinatieri	crosswordtracker.com/clue/colts-placekicker-vinatieri/
Pascal of "Rent"	crosswordtracker.com/clue/pascal-of-rent/
Drew's "50 First Dates" costar	crosswordtracker.com/clue/drews-50-first-dates-costar/
Emily's "Punch-Drunk Love" costar	crosswordtracker.com/clue/emilys-punch-drunk-love-costar/
RADIO PERSONALITY CAROLLA	crosswordtracker.com/clue/radio-personality-carolla/
West who plays the mayor on "Family Guy"	crosswordtracker.com/clue/west-who-plays-the-mayor-on-family-guy/
Radio host Carolla	crosswordtracker.com/clue/radio-host-carolla/
Don's "Reign Over Me" costar	crosswordtracker.com/clue/dons-reign-over-me-costar/
Earth's first gardener?	crosswordtracker.com/clue/earths-first-gardener/
____Van Koeverden (winner of kayak silver)	crosswordtracker.com/clue/____van-koeverden-winner-of-kayak-silver/
Partner of Eve	crosswordtracker.com/clue/partner-of-eve-1/
First gardener?	crosswordtracker.com/clue/first-gardener/
Eden occupant	crosswordtracker.com/clue/eden-occupant/
Noted fruit fancier	crosswordtracker.com/clue/noted-fruit-fancier/
Unborn person	crosswordtracker.com/clue/unborn-person-1/
Sandler of films	crosswordtracker.com/clue/sandler-of-films/
Number one guy?	crosswordtracker.com/clue/number-one-guy/
First gardener	crosswordtracker.com/clue/first-gardener-1/
Heir to the Ponderosa	crosswordtracker.com/clue/heir-to-the-ponderosa/
Ben's oldest son on "Bonanza"	crosswordtracker.com/clue/bens-oldest-son-on-bonanza/
He's #1!	crosswordtracker.com/clue/hes-1-1/
West or Ant	crosswordtracker.com/clue/west-or-ant/
First man to be "ribbed"	crosswordtracker.com/clue/first-man-to-be-ribbed/
Eden patriarch	crosswordtracker.com/clue/eden-patriarch/
He had no mother	crosswordtracker.com/clue/he-had-no-mother/
Someone who could give a first-person account	crosswordtracker.com/clue/someone-who-could-give-a-first-person-account-1/
He once lived in a garden	crosswordtracker.com/clue/he-once-lived-in-a-garden/
He has an apple named after him	crosswordtracker.com/clue/he-has-an-apple-named-after-him-1/
First in a long line?	crosswordtracker.com/clue/first-in-a-long-line/
Rodin piece	crosswordtracker.com/clue/rodin-piece/
Fired gardener	crosswordtracker.com/clue/fired-gardener/
Man with an apple named after him?	crosswordtracker.com/clue/man-with-an-apple-named-after-him/
He's number one	crosswordtracker.com/clue/hes-number-one/
One with a first-person account?	crosswordtracker.com/clue/one-with-a-first-person-account-1/
First in the race	crosswordtracker.com/clue/first-in-the-race-1/
First fellow	crosswordtracker.com/clue/first-fellow/
"She shall be called Woman" speaker	crosswordtracker.com/clue/she-shall-be-called-woman-speaker/
"Wealth of Nations" author Smith	crosswordtracker.com/clue/wealth-of-nations-author-smith/
Baldwin or Sandler	crosswordtracker.com/clue/baldwin-or-sandler/
Yauch of the Beastie Boys	crosswordtracker.com/clue/yauch-of-the-beastie-boys/
Sandler who played Canteen Boy	crosswordtracker.com/clue/sandler-who-played-canteen-boy/
Beastie Boy Yauch	crosswordtracker.com/clue/beastie-boy-yauch/
Primal man?	crosswordtracker.com/clue/primal-man/
Levine of "The Voice"	crosswordtracker.com/clue/levine-of-the-voice/
___ and Steve (variation on a biblical pair)	crosswordtracker.com/clue/___-and-steve-variation-on-a-biblical-pair/
Scott of "Parks and Recreation" [The AV Club goes subscription only soon! Sign up at avxword.com]	crosswordtracker.com/clue/scott-of-parks-and-recreation-the-av-club-goes-subscription-only-soon-sign-up-at-avxwordcom/
Economist Smith who coined the term "invisible hand"	crosswordtracker.com/clue/economist-smith-who-coined-the-term-invisible-hand/
Sistine Chapel ceiling subject	crosswordtracker.com/clue/sistine-chapel-ceiling-subject/
Leading man?	http://www.crosswordgiant.com/crossword-clue/11080/Leading-man
Economist Smith	http://www.crosswordgiant.com/crossword-clue/2359/Economist-Smith
Leading man	http://www.crosswordgiant.com/crossword-clue/218523/Leading-man
First person	http://www.crosswordgiant.com/crossword-clue/122159/First-person
First of all	http://www.crosswordgiant.com/crossword-clue/43038/First-of-all
Sixth-day creation	http://www.crosswordgiant.com/crossword-clue/8165/Sixth-day-creation
First of all?	http://www.crosswordgiant.com/crossword-clue/118373/First-of-all
First man	http://www.crosswordgiant.com/crossword-clue/470432/First-man
First name?	http://www.crosswordgiant.com/crossword-clue/24647/First-name
Original sinner	http://www.crosswordgiant.com/crossword-clue/4810/Original-sinner
First fellow	http://www.crosswordgiant.com/crossword-clue/227781/First-fellow
Genesis man	http://www.crosswordgiant.com/crossword-clue/77844/Genesis-man
Eden evictee	http://www.crosswordgiant.com/crossword-clue/219514/Eden-evictee
'Paradise Lost' character	http://www.crosswordgiant.com/crossword-clue/7196/Paradise-Lost-character
First mate?	http://www.crosswordgiant.com/crossword-clue/12101/First-mate
Eden dweller	http://www.crosswordgiant.com/crossword-clue/18872/Eden-dweller
Rodin sculpture	http://www.crosswordgiant.com/crossword-clue/120535/Rodin-sculpture
Garden party?	http://www.crosswordgiant.com/crossword-clue/53716/Garden-party
Sistine Chapel figure	http://www.crosswordgiant.com/crossword-clue/101556/Sistine-Chapel-figure
"Bonanza" brother	http://www.crosswordgiant.com/crossword-clue/232622/Bonanza-brother
Cain raiser	http://www.crosswordgiant.com/crossword-clue/20157/Cain-raiser
Brother of Little Joe	http://www.crosswordgiant.com/crossword-clue/141787/Brother-of-Little-Joe
Eve's mate	http://www.crosswordgiant.com/crossword-clue/273626/Eves-mate
A mad sort of ancestor	http://www.crosswordgiant.com/crossword-clue/953495/A-mad-sort-of-ancestor
First father	http://www.crosswordgiant.com/crossword-clue/175524/First-father
First name	http://www.crosswordgiant.com/crossword-clue/221619/First-name
Noted bone donor	http://www.crosswordgiant.com/crossword-clue/285441/Noted-bone-donor
Comic Sandler	http://www.crosswordgiant.com/crossword-clue/309771/Comic-Sandler
Sistine Chapel ceiling figure	http://www.crosswordgiant.com/crossword-clue/517689/Sistine-Chapel-ceiling-figure
Cain's father	http://www.crosswordgiant.com/crossword-clue/577773/Cains-father
