Kind of party	crosswordtracker.com/clue/kind-of-party/
Social type	crosswordtracker.com/clue/social-type/
Mad Hatter's serving	crosswordtracker.com/clue/mad-hatters-serving/
Jasmine, for one	crosswordtracker.com/clue/jasmine-for-one/
Leaves for a drink?	crosswordtracker.com/clue/leaves-for-a-drink/
Nonalcoholic brew	crosswordtracker.com/clue/nonalcoholic-brew/
Leaves in bags	crosswordtracker.com/clue/leaves-in-bags/
Herb __	crosswordtracker.com/clue/herb-__/
Common make-believe drink	crosswordtracker.com/clue/common-make-believe-drink/
Green beverage	crosswordtracker.com/clue/green-beverage/
Chanoyu ritual drink	crosswordtracker.com/clue/chanoyu-ritual-drink/
Afternoon party	crosswordtracker.com/clue/afternoon-party/
Sleepytime or gunpowder	crosswordtracker.com/clue/sleepytime-or-gunpowder/
Black or green drink	crosswordtracker.com/clue/black-or-green-drink/
Soho drink	crosswordtracker.com/clue/soho-drink/
It may be iced in warm weather	crosswordtracker.com/clue/it-may-be-iced-in-warm-weather/
English Breakfast, for one	crosswordtracker.com/clue/english-breakfast-for-one/
Pekoe, e.g.	crosswordtracker.com/clue/pekoe-eg/
Party drink?	crosswordtracker.com/clue/party-drink-1/
Reason for a service break at Wimbledon?	crosswordtracker.com/clue/reason-for-a-service-break-at-wimbledon/
Leaves after dinner?	crosswordtracker.com/clue/leaves-after-dinner/
Bagged leaves	crosswordtracker.com/clue/bagged-leaves-1/
Afternoon event	crosswordtracker.com/clue/afternoon-event-1/
Darjeeling or oolong	crosswordtracker.com/clue/darjeeling-or-oolong/
__ set	crosswordtracker.com/clue/__-set/
Hot herbal drink	crosswordtracker.com/clue/hot-herbal-drink-1/
Bag of leaves, perhaps	crosswordtracker.com/clue/bag-of-leaves-perhaps/
Social service?	crosswordtracker.com/clue/social-service-1/
Afternoon potful	crosswordtracker.com/clue/afternoon-potful/
It's bagged in the supermarket	crosswordtracker.com/clue/its-bagged-in-the-supermarket/
Earl Grey is one	crosswordtracker.com/clue/earl-grey-is-one/
Brighton break	crosswordtracker.com/clue/brighton-break/
Steeped stuff	crosswordtracker.com/clue/steeped-stuff/
Potable	crosswordtracker.com/clue/potable-4/
English break	crosswordtracker.com/clue/english-break-2/
Herbal remedy	crosswordtracker.com/clue/herbal-remedy-2/
Cricket drink	crosswordtracker.com/clue/cricket-drink/
Darjeeling, e.g.	crosswordtracker.com/clue/darjeeling-eg/
White-gloves affair	crosswordtracker.com/clue/white-gloves-affair/
Brit's beverage	crosswordtracker.com/clue/brits-beverage/
Rugby ritual	crosswordtracker.com/clue/rugby-ritual/
British beverage	crosswordtracker.com/clue/british-beverage/
Leaves in the pot	crosswordtracker.com/clue/leaves-in-the-pot/
Four spot?	crosswordtracker.com/clue/four-spot/
Boston __ Party	crosswordtracker.com/clue/boston-__-party/
Mad Hatter's beverage	crosswordtracker.com/clue/mad-hatters-beverage/
Brit's break	crosswordtracker.com/clue/brits-break/
Crumpet chaser	crosswordtracker.com/clue/crumpet-chaser/
Spot in the afternoon?	crosswordtracker.com/clue/spot-in-the-afternoon/
4:00 social	crosswordtracker.com/clue/400-social/
Traditional beverage	crosswordtracker.com/clue/traditional-beverage/
Texas __: oil	crosswordtracker.com/clue/texas-__-oil/
Drink from a bag	crosswordtracker.com/clue/drink-from-a-bag/
__ party	crosswordtracker.com/clue/__-party-1/
Afternoon drink	crosswordtracker.com/clue/afternoon-drink/
Lipton's line	crosswordtracker.com/clue/liptons-line/
Scone accompaniment	crosswordtracker.com/clue/scone-accompaniment/
Cozy cupful	crosswordtracker.com/clue/cozy-cupful/
Word with spoon or cup	crosswordtracker.com/clue/word-with-spoon-or-cup/
Red Rose beverage	crosswordtracker.com/clue/red-rose-beverage/
Afternoon refreshment	crosswordtracker.com/clue/afternoon-refreshment/
The Mad Hatter's beverage	crosswordtracker.com/clue/the-mad-hatters-beverage/
Party still celebrated in Boston	crosswordtracker.com/clue/party-still-celebrated-in-boston/
Ceylon black, e.g.	crosswordtracker.com/clue/ceylon-black-eg/
Twinings offering	crosswordtracker.com/clue/twinings-offering-1/
Afternoon serving	crosswordtracker.com/clue/afternoon-serving/
Cozy drink?	crosswordtracker.com/clue/cozy-drink/
A&P's original business	crosswordtracker.com/clue/aps-original-business/
Leaves with a caddy?	crosswordtracker.com/clue/leaves-with-a-caddy/
Orange pekoe, for one	crosswordtracker.com/clue/orange-pekoe-for-one/
__ leaf	crosswordtracker.com/clue/__-leaf/
Afternoon reception	crosswordtracker.com/clue/afternoon-reception/
Social brew	crosswordtracker.com/clue/social-brew/
Drink served in spots?	crosswordtracker.com/clue/drink-served-in-spots/
Something brewing?	crosswordtracker.com/clue/something-brewing/
Scone go-with	crosswordtracker.com/clue/scone-go-with/
Beverage often served with sugar or lemon	crosswordtracker.com/clue/beverage-often-served-with-sugar-or-lemon/
Celestial Seasonings product	crosswordtracker.com/clue/celestial-seasonings-product/
Chamomile beverage	crosswordtracker.com/clue/chamomile-beverage/
Quaint get-together	crosswordtracker.com/clue/quaint-get-together/
Pekoe, for one	crosswordtracker.com/clue/pekoe-for-one/
Mad Hatter's offering	crosswordtracker.com/clue/mad-hatters-offering/
Word with garden or party	crosswordtracker.com/clue/word-with-garden-or-party/
It's often iced in summer	crosswordtracker.com/clue/its-often-iced-in-summer/
Green or sassafras	crosswordtracker.com/clue/green-or-sassafras/
Pekoe or Darjeeling	crosswordtracker.com/clue/pekoe-or-darjeeling/
You may have a spot of it	crosswordtracker.com/clue/you-may-have-a-spot-of-it/
Kind of bag for leaves?	crosswordtracker.com/clue/kind-of-bag-for-leaves/
Hatter affair	crosswordtracker.com/clue/hatter-affair/
Drink "for two"	crosswordtracker.com/clue/drink-for-two/
It may be in the bag	crosswordtracker.com/clue/it-may-be-in-the-bag/
It may be high in the afternoon	crosswordtracker.com/clue/it-may-be-high-in-the-afternoon/
After-dinner serving	crosswordtracker.com/clue/after-dinner-serving-2/
This is popular in spots	crosswordtracker.com/clue/this-is-popular-in-spots/
4:00 gathering	crosswordtracker.com/clue/400-gathering/
Contents of some small bags	crosswordtracker.com/clue/contents-of-some-small-bags/
Oolong or souchong	crosswordtracker.com/clue/oolong-or-souchong/
__ bag	crosswordtracker.com/clue/__-bag/
Cachar, e.g.	crosswordtracker.com/clue/cachar-eg/
Mythical Irish queen	crosswordtracker.com/clue/mythical-irish-queen/
Hyson or oopak	crosswordtracker.com/clue/hyson-or-oopak/
British ritual	crosswordtracker.com/clue/british-ritual/
Herbal soother	crosswordtracker.com/clue/herbal-soother/
Leaves in the cup	crosswordtracker.com/clue/leaves-in-the-cup/
Congou, e.g.	crosswordtracker.com/clue/congou-eg/
Spot in front of the telly?	crosswordtracker.com/clue/spot-in-front-of-the-telly/
Afternoon meal	crosswordtracker.com/clue/afternoon-meal-1/
Caddy contents	crosswordtracker.com/clue/caddy-contents/
Word with ball or bag	crosswordtracker.com/clue/word-with-ball-or-bag/
Bubble ___	crosswordtracker.com/clue/bubble-___/
____ Creek, Saskatchewan	crosswordtracker.com/clue/____-creek-saskatchewan/
Boston castoff	crosswordtracker.com/clue/boston-castoff/
Long Island drink	crosswordtracker.com/clue/long-island-drink/
It comes in bags	crosswordtracker.com/clue/it-comes-in-bags/
British import	crosswordtracker.com/clue/british-import-1/
Break in London	crosswordtracker.com/clue/break-in-london/
Oolong, for instance	crosswordtracker.com/clue/oolong-for-instance/
Drink available in black, white, green and red	crosswordtracker.com/clue/drink-available-in-black-white-green-and-red/
Stuff in a ball	crosswordtracker.com/clue/stuff-in-a-ball/
Word with ball or party	crosswordtracker.com/clue/word-with-ball-or-party/
It may be taken in the afternoon	crosswordtracker.com/clue/it-may-be-taken-in-the-afternoon/
Leaves from China, often	crosswordtracker.com/clue/leaves-from-china-often/
Leaves with dessert?	crosswordtracker.com/clue/leaves-with-dessert/
Submerged leaves	crosswordtracker.com/clue/submerged-leaves/
Dainty beverage	crosswordtracker.com/clue/dainty-beverage/
Small bag of buds that might chill you out	crosswordtracker.com/clue/small-bag-of-buds-that-might-chill-you-out/
Pot substance	crosswordtracker.com/clue/pot-substance/
Drink from Tazo	crosswordtracker.com/clue/drink-from-tazo/
Historic Boston Harbor flotsam	crosswordtracker.com/clue/historic-boston-harbor-flotsam/
It can be for two or for the Tillerman	crosswordtracker.com/clue/it-can-be-for-two-or-for-the-tillerman/
Texas __: petroleum	crosswordtracker.com/clue/texas-__-petroleum/
Spot from a pot?	crosswordtracker.com/clue/spot-from-a-pot/
Word after beef or cream	crosswordtracker.com/clue/word-after-beef-or-cream/
Leaves in a cup	crosswordtracker.com/clue/leaves-in-a-cup/
Word with ''bag'' or ''caddy''	crosswordtracker.com/clue/word-with-bag-or-caddy/
Drink with a scone	crosswordtracker.com/clue/drink-with-a-scone/
It was once harbored in Boston?	crosswordtracker.com/clue/it-was-once-harbored-in-boston/
Wonderland spot	crosswordtracker.com/clue/wonderland-spot/
Pekoe or green	crosswordtracker.com/clue/pekoe-or-green/
Hunan or dynamite	crosswordtracker.com/clue/hunan-or-dynamite/
It may be bagged	crosswordtracker.com/clue/it-may-be-bagged/
Cup with crumpets	crosswordtracker.com/clue/cup-with-crumpets/
Something steeped	crosswordtracker.com/clue/something-steeped/
Social beverage	crosswordtracker.com/clue/social-beverage/
It's taken in spots	crosswordtracker.com/clue/its-taken-in-spots/
What the Mad Hatter served	crosswordtracker.com/clue/what-the-mad-hatter-served/
__ service	crosswordtracker.com/clue/__-service/
Bagged leaves?	crosswordtracker.com/clue/bagged-leaves/
It may be iced	crosswordtracker.com/clue/it-may-be-iced/
Pekoe purchase	crosswordtracker.com/clue/pekoe-purchase/
Cozy do	crosswordtracker.com/clue/cozy-do/
Herbal __	crosswordtracker.com/clue/herbal-__/
4:00 get-together, in London	crosswordtracker.com/clue/400-get-together-in-london/
Herbal concoction	crosswordtracker.com/clue/herbal-concoction/
It may require a cart and a caddy	crosswordtracker.com/clue/it-may-require-a-cart-and-a-caddy/
British East India Company product	crosswordtracker.com/clue/british-east-india-company-product/
Word with ball or caddy	crosswordtracker.com/clue/word-with-ball-or-caddy/
Sri Lankan crop	crosswordtracker.com/clue/sri-lankan-crop/
Kind of bag or ball	crosswordtracker.com/clue/kind-of-bag-or-ball/
Actress Leoni	crosswordtracker.com/clue/actress-leoni/
It was once harbored in Boston	crosswordtracker.com/clue/it-was-once-harbored-in-boston-1/
Between-meals reception	crosswordtracker.com/clue/between-meals-reception/
Beverage for a genteel affair, e.g.	crosswordtracker.com/clue/beverage-for-a-genteel-affair-eg/
Popular brew	crosswordtracker.com/clue/popular-brew/
Crumpets' colleague	crosswordtracker.com/clue/crumpets-colleague/
Mint __	crosswordtracker.com/clue/mint-__/
Hyson or oolong	crosswordtracker.com/clue/hyson-or-oolong/
March Hare's offering	crosswordtracker.com/clue/march-hares-offering/
Something bagged in the pantry	crosswordtracker.com/clue/something-bagged-in-the-pantry/
Black or green stuff	crosswordtracker.com/clue/black-or-green-stuff/
1773 Boston Harbor jetsam	crosswordtracker.com/clue/1773-boston-harbor-jetsam/
Drink in the afternoon	crosswordtracker.com/clue/drink-in-the-afternoon/
Word after green or gunpowder	crosswordtracker.com/clue/word-after-green-or-gunpowder/
With 76D, "Spanglish" star	crosswordtracker.com/clue/with-76d-spanglish-star/
It's steeped in tradition	crosswordtracker.com/clue/its-steeped-in-tradition/
Leaves in water?	crosswordtracker.com/clue/leaves-in-water/
Mad Hatter's quaff	crosswordtracker.com/clue/mad-hatters-quaff/
Surrey spot?	crosswordtracker.com/clue/surrey-spot/
Word before garden or party	crosswordtracker.com/clue/word-before-garden-or-party/
Major Indian export	crosswordtracker.com/clue/major-indian-export/
Its taxation was protested in 1773	crosswordtracker.com/clue/its-taxation-was-protested-in-1773/
Fortuneteller's leaves	crosswordtracker.com/clue/fortunetellers-leaves/
The Mad Hatter's drink	crosswordtracker.com/clue/the-mad-hatters-drink/
March Hare's offering to Alice	crosswordtracker.com/clue/march-hares-offering-to-alice/
Drink served hot or cold	crosswordtracker.com/clue/drink-served-hot-or-cold/
Texas ___ (oil)	crosswordtracker.com/clue/texas-___-oil/
It's measured in spots?	crosswordtracker.com/clue/its-measured-in-spots/
Dorset drink	crosswordtracker.com/clue/dorset-drink/
New York's Russian ___ Room	crosswordtracker.com/clue/new-yorks-russian-___-room/
4 p.m., in Kent	crosswordtracker.com/clue/4-pm-in-kent/
Leaves for the afternoon?	crosswordtracker.com/clue/leaves-for-the-afternoon/
''High'' beverage	crosswordtracker.com/clue/high-beverage/
Kettle contents	crosswordtracker.com/clue/kettle-contents/
What's in the bag?	crosswordtracker.com/clue/whats-in-the-bag/
It's bagged in the grocery store	crosswordtracker.com/clue/its-bagged-in-the-grocery-store/
Chanoyu drink	crosswordtracker.com/clue/chanoyu-drink/
Afternoon drink, for many	crosswordtracker.com/clue/afternoon-drink-for-many/
What some caddies carry	crosswordtracker.com/clue/what-some-caddies-carry/
"___ with Mussolini" (1999 film)	crosswordtracker.com/clue/___-with-mussolini-1999-film/
Leaves underwater?	crosswordtracker.com/clue/leaves-underwater/
Afternoon quaff	crosswordtracker.com/clue/afternoon-quaff/
Bagged beverage	crosswordtracker.com/clue/bagged-beverage/
Spot from a pot	crosswordtracker.com/clue/spot-from-a-pot-1/
Mid-afternoon drink	crosswordtracker.com/clue/mid-afternoon-drink/
It can be black or green	crosswordtracker.com/clue/it-can-be-black-or-green/
Darjeeling drink	crosswordtracker.com/clue/darjeeling-drink/
One may be high at four	crosswordtracker.com/clue/one-may-be-high-at-four/
4:00 London social	crosswordtracker.com/clue/400-london-social/
White-glove affair	crosswordtracker.com/clue/white-glove-affair/
Social drink	crosswordtracker.com/clue/social-drink/
Kettle filler	crosswordtracker.com/clue/kettle-filler/
Pick-me-up cupful	crosswordtracker.com/clue/pick-me-up-cupful/
Crumpets' partner	crosswordtracker.com/clue/crumpets-partner-1/
Drink with a string in it, perhaps	crosswordtracker.com/clue/drink-with-a-string-in-it-perhaps/
Beverage with scones	crosswordtracker.com/clue/beverage-with-scones/
Orange pekoe, e.g.	crosswordtracker.com/clue/orange-pekoe-eg/
Wonderland beverage	crosswordtracker.com/clue/wonderland-beverage/
Big export from Sri Lanka	crosswordtracker.com/clue/big-export-from-sri-lanka/
"Iced" drink	crosswordtracker.com/clue/iced-drink-2/
It's bagged at the market	crosswordtracker.com/clue/its-bagged-at-the-market/
Drink in a pot	crosswordtracker.com/clue/drink-in-a-pot/
Drink served in "spots"	crosswordtracker.com/clue/drink-served-in-spots-1/
The British often take it	crosswordtracker.com/clue/the-british-often-take-it/
Crumpet accompaniment	crosswordtracker.com/clue/crumpet-accompaniment/
Beverage with crumpets	crosswordtracker.com/clue/beverage-with-crumpets/
It may be sun-brewed	crosswordtracker.com/clue/it-may-be-sun-brewed/
Afternoon drink, for some	crosswordtracker.com/clue/afternoon-drink-for-some/
Oolong or darjeeling	crosswordtracker.com/clue/oolong-or-darjeeling/
Something to take in the afternoon	crosswordtracker.com/clue/something-to-take-in-the-afternoon/
Coventry cupful	crosswordtracker.com/clue/coventry-cupful/
Hot or iced drink	crosswordtracker.com/clue/hot-or-iced-drink-1/
What the Mad Hatter pours on the Dormouse to wake it up	crosswordtracker.com/clue/what-the-mad-hatter-pours-on-the-dormouse-to-wake-it-up/
___ Party movement	crosswordtracker.com/clue/___-party-movement/
Afternoon meal, across the pond	crosswordtracker.com/clue/afternoon-meal-across-the-pond/
Breakfast cupful	crosswordtracker.com/clue/breakfast-cupful/
Crumpet's go-with	crosswordtracker.com/clue/crumpets-go-with-1/
Kind of party for Glenn Beck?	crosswordtracker.com/clue/kind-of-party-for-glenn-beck/
Event at which some people wear gloves	crosswordtracker.com/clue/event-at-which-some-people-wear-gloves/
"___ With Mussolini" (Zeffirelli film)	crosswordtracker.com/clue/___-with-mussolini-zeffirelli-film/
What the Hatter and the March Hare drank	crosswordtracker.com/clue/what-the-hatter-and-the-march-hare-drank/
Samovar beverage	crosswordtracker.com/clue/samovar-beverage/
4:00 drink	crosswordtracker.com/clue/400-drink/
Kind of cart	crosswordtracker.com/clue/kind-of-cart-2/
Something overthrown shortly before the American Revolution	crosswordtracker.com/clue/something-overthrown-shortly-before-the-american-revolution/
What's brewing, perhaps	crosswordtracker.com/clue/whats-brewing-perhaps/
Alternative to coffee	crosswordtracker.com/clue/alternative-to-coffee/
What some balls are filled with	crosswordtracker.com/clue/what-some-balls-are-filled-with/
Garden party, maybe	crosswordtracker.com/clue/garden-party-maybe/
Scone's go-with	crosswordtracker.com/clue/scones-go-with/
___ Party Nation	crosswordtracker.com/clue/___-party-nation/
Type of leaf or service	crosswordtracker.com/clue/type-of-leaf-or-service/
Leaves in the water?	crosswordtracker.com/clue/leaves-in-the-water/
Drink from leaves	crosswordtracker.com/clue/drink-from-leaves/
Beverage often served with lemon	crosswordtracker.com/clue/beverage-often-served-with-lemon/
Lipton drink	crosswordtracker.com/clue/lipton-drink/
British East India Co. monopoly	crosswordtracker.com/clue/british-east-india-co-monopoly/
Word with "service" or "ceremony"	crosswordtracker.com/clue/word-with-service-or-ceremony/
Oolong or Earl Grey	crosswordtracker.com/clue/oolong-or-earl-grey/
Earl or Lady Grey	crosswordtracker.com/clue/earl-or-lady-grey/
Word with cozy or bag	crosswordtracker.com/clue/word-with-cozy-or-bag/
4:00 English drink	crosswordtracker.com/clue/400-english-drink/
Drink offered to Alice	crosswordtracker.com/clue/drink-offered-to-alice/
Tazo product	crosswordtracker.com/clue/tazo-product/
Four O'Clock is a brand of it	crosswordtracker.com/clue/four-oclock-is-a-brand-of-it/
"When I Take My Sugar to __": 1931 hit	crosswordtracker.com/clue/when-i-take-my-sugar-to-__-1931-hit/
It may be green or black	crosswordtracker.com/clue/it-may-be-green-or-black/
Afternoon cup	crosswordtracker.com/clue/afternoon-cup-1/
Something sipped with a scone	crosswordtracker.com/clue/something-sipped-with-a-scone/
Brewed drink (found in all four long answers)	crosswordtracker.com/clue/brewed-drink-found-in-all-four-long-answers/
4 o'clock refreshment	crosswordtracker.com/clue/4-oclock-refreshment/
Type of service or caddy	crosswordtracker.com/clue/type-of-service-or-caddy/
Hot brew	crosswordtracker.com/clue/hot-brew/
Afternoon social event	crosswordtracker.com/clue/afternoon-social-event/
Kenyan export	crosswordtracker.com/clue/kenyan-export/
Type of spoon or cup	crosswordtracker.com/clue/type-of-spoon-or-cup/
Pekoe or oolong	crosswordtracker.com/clue/pekoe-or-oolong/
Lapsang souchong, e.g.	crosswordtracker.com/clue/lapsang-souchong-eg/
Service staple	crosswordtracker.com/clue/service-staple-1/
Spot in a pot	crosswordtracker.com/clue/spot-in-a-pot/
4:00 affair	crosswordtracker.com/clue/400-affair/
It may be taken in spots	crosswordtracker.com/clue/it-may-be-taken-in-spots/
A cuppa	crosswordtracker.com/clue/a-cuppa/
Genteel event	crosswordtracker.com/clue/genteel-event/
It may be spiced	crosswordtracker.com/clue/it-may-be-spiced/
Flight attendant's offering	crosswordtracker.com/clue/flight-attendants-offering/
Brewer's brew	crosswordtracker.com/clue/brewers-brew/
Word with caddy or bag	crosswordtracker.com/clue/word-with-caddy-or-bag/
___ caddy	crosswordtracker.com/clue/___-caddy/
Word with black or green	crosswordtracker.com/clue/word-with-black-or-green/
It may be brewing	crosswordtracker.com/clue/it-may-be-brewing/
It may be iced or spiced	crosswordtracker.com/clue/it-may-be-iced-or-spiced/
Blue mountain ___ (goldenrod)	crosswordtracker.com/clue/blue-mountain-___-goldenrod/
Britain's ___ Act of 1773	crosswordtracker.com/clue/britains-___-act-of-1773/
Midafternoon repast	crosswordtracker.com/clue/midafternoon-repast/
Product once harbored in Boston?	crosswordtracker.com/clue/product-once-harbored-in-boston/
Good source of antioxidants	crosswordtracker.com/clue/good-source-of-antioxidants/
Green brew	crosswordtracker.com/clue/green-brew/
It may be served with crumpets	crosswordtracker.com/clue/it-may-be-served-with-crumpets/
It may be herbal	crosswordtracker.com/clue/it-may-be-herbal/
Drink with one lump or two	crosswordtracker.com/clue/drink-with-one-lump-or-two/
Long Island Iced ___	crosswordtracker.com/clue/long-island-iced-___/
Samovar serving	crosswordtracker.com/clue/samovar-serving/
Hot spot, in lunch counter lingo	crosswordtracker.com/clue/hot-spot-in-lunch-counter-lingo/
Small bag of leaves	crosswordtracker.com/clue/small-bag-of-leaves/
Leaves at 4:00?	crosswordtracker.com/clue/leaves-at-400/
It may be black or green	crosswordtracker.com/clue/it-may-be-black-or-green/
4:00, in Kent	crosswordtracker.com/clue/400-in-kent/
Parlor drink	crosswordtracker.com/clue/parlor-drink/
Jetsam of 1773	crosswordtracker.com/clue/jetsam-of-1773/
Iced ___	crosswordtracker.com/clue/iced-___/
After-dinner offering	crosswordtracker.com/clue/after-dinner-offering/
Old-fashioned cold remedy	crosswordtracker.com/clue/old-fashioned-cold-remedy/
Kind of cozy	crosswordtracker.com/clue/kind-of-cozy/
Hot brewed beverage	crosswordtracker.com/clue/hot-brewed-beverage/
Party serving	crosswordtracker.com/clue/party-serving/
Drink in a cup	crosswordtracker.com/clue/drink-in-a-cup/
Afternoon social gathering	crosswordtracker.com/clue/afternoon-social-gathering/
Export of India	crosswordtracker.com/clue/export-of-india/
4 p.m. refreshment, perhaps	crosswordtracker.com/clue/4-pm-refreshment-perhaps/
Party quaff?	crosswordtracker.com/clue/party-quaff/
Major Kenyan export	crosswordtracker.com/clue/major-kenyan-export/
Afternoon brew	crosswordtracker.com/clue/afternoon-brew/
A social	crosswordtracker.com/clue/a-social-3/
Assam, e.g.	crosswordtracker.com/clue/assam-eg/
Souchong or hyson	crosswordtracker.com/clue/souchong-or-hyson/
Bohea or congou	crosswordtracker.com/clue/bohea-or-congou/
Spanish torch	crosswordtracker.com/clue/spanish-torch/
An infusion	crosswordtracker.com/clue/an-infusion/
Hyson is one	crosswordtracker.com/clue/hyson-is-one/
