Jumble	crosswordtracker.com/clue/jumble/
Budget chart	crosswordtracker.com/clue/budget-chart/
Pizzeria staple	crosswordtracker.com/clue/pizzeria-staple/
Sliced dessert	crosswordtracker.com/clue/sliced-dessert/
Bake-off entry	crosswordtracker.com/clue/bake-off-entry/
Three Little Kittens' reward	crosswordtracker.com/clue/three-little-kittens-reward/
Word with cutie or sweetie	crosswordtracker.com/clue/word-with-cutie-or-sweetie/
It's easy	crosswordtracker.com/clue/its-easy-2/
Set of wedges?	crosswordtracker.com/clue/set-of-wedges/
It may have a filling filling	crosswordtracker.com/clue/it-may-have-a-filling-filling/
It often has an upper crust	crosswordtracker.com/clue/it-often-has-an-upper-crust/
Dainty dish of blackbirds	crosswordtracker.com/clue/dainty-dish-of-blackbirds/
Little Jack Horner's dessert	crosswordtracker.com/clue/little-jack-horners-dessert/
Custard creation	crosswordtracker.com/clue/custard-creation/
Kind of filling	crosswordtracker.com/clue/kind-of-filling/
Tin contents	crosswordtracker.com/clue/tin-contents/
It has some crust	crosswordtracker.com/clue/it-has-some-crust/
Amount to be divided	crosswordtracker.com/clue/amount-to-be-divided/
Crusty dish	crosswordtracker.com/clue/crusty-dish/
Pizzeria creation	crosswordtracker.com/clue/pizzeria-creation/
Mud ___	crosswordtracker.com/clue/mud-___/
Pizzeria output	crosswordtracker.com/clue/pizzeria-output/
Mincemeat dessert	crosswordtracker.com/clue/mincemeat-dessert/
Order from Domino's	crosswordtracker.com/clue/order-from-dominos/
Word with sugar or cream	crosswordtracker.com/clue/word-with-sugar-or-cream/
Pandowdy, e.g.	crosswordtracker.com/clue/pandowdy-eg/
It has a shell	crosswordtracker.com/clue/it-has-a-shell/
Cobbler's cousin	crosswordtracker.com/clue/cobblers-cousin/
Jay's cousin	crosswordtracker.com/clue/jays-cousin-1/
___ Ã  la mode	crosswordtracker.com/clue/___-a-la-mode/
Tot's muddy concoction	crosswordtracker.com/clue/tots-muddy-concoction/
Bake sale item	crosswordtracker.com/clue/bake-sale-item/
Apple or blueberry	crosswordtracker.com/clue/apple-or-blueberry/
Dessert selection	crosswordtracker.com/clue/dessert-selection/
You might throw it in someone's face	crosswordtracker.com/clue/you-might-throw-it-in-someones-face/
Shoofly ___	crosswordtracker.com/clue/shoofly-___/
Dessert in the sky?	crosswordtracker.com/clue/dessert-in-the-sky/
Statistical metaphor	crosswordtracker.com/clue/statistical-metaphor/
Quiche shape	crosswordtracker.com/clue/quiche-shape/
Enterprise, figuratively	crosswordtracker.com/clue/enterprise-figuratively/
"National Velvet" horse, with "The"	crosswordtracker.com/clue/national-velvet-horse-with-the/
Sales chart metaphor	crosswordtracker.com/clue/sales-chart-metaphor/
Shoo-fly __	crosswordtracker.com/clue/shoo-fly-__/
Pizzeria offering	crosswordtracker.com/clue/pizzeria-offering/
Budget representation	crosswordtracker.com/clue/budget-representation/
What Jack Horner was eating	crosswordtracker.com/clue/what-jack-horner-was-eating/
Whole pizza	crosswordtracker.com/clue/whole-pizza/
Dessert-cart choice	crosswordtracker.com/clue/dessert-cart-choice/
Mock apple __	crosswordtracker.com/clue/mock-apple-__/
Eight slices, often	crosswordtracker.com/clue/eight-slices-often/
Dessert in a tin	crosswordtracker.com/clue/dessert-in-a-tin/
Pot attachment	crosswordtracker.com/clue/pot-attachment/
Graph shape	crosswordtracker.com/clue/graph-shape/
Something in a shell	crosswordtracker.com/clue/something-in-a-shell/
It may have a crimped crust	crosswordtracker.com/clue/it-may-have-a-crimped-crust/
Tin filler	crosswordtracker.com/clue/tin-filler/
Crusty treat	crosswordtracker.com/clue/crusty-treat/
Item often found cooling on a window sill	crosswordtracker.com/clue/item-often-found-cooling-on-a-window-sill/
Humble follower?	crosswordtracker.com/clue/humble-follower/
Word after sweetie or Tweety	crosswordtracker.com/clue/word-after-sweetie-or-tweety/
Word with cream or sugar	crosswordtracker.com/clue/word-with-cream-or-sugar/
Sky sight?	crosswordtracker.com/clue/sky-sight-3/
Financial chart metaphor	crosswordtracker.com/clue/financial-chart-metaphor/
Pastry choice	crosswordtracker.com/clue/pastry-choice/
Peach, cherry, or blueberry	crosswordtracker.com/clue/peach-cherry-or-blueberry/
Thanksgiving dessert, often	crosswordtracker.com/clue/thanksgiving-dessert-often/
Dessert favorite	crosswordtracker.com/clue/dessert-favorite/
Apple or peach, e.g.	crosswordtracker.com/clue/apple-or-peach-eg/
It can be eaten a la mode	crosswordtracker.com/clue/it-can-be-eaten-a-la-mode/
The horse in "National Velvet" (with "The")	crosswordtracker.com/clue/the-horse-in-national-velvet-with-the/
The three little kittens' reward	crosswordtracker.com/clue/the-three-little-kittens-reward/
Apple or banana cream	crosswordtracker.com/clue/apple-or-banana-cream/
Circular type of graph	crosswordtracker.com/clue/circular-type-of-graph/
Apple or cherry creation	crosswordtracker.com/clue/apple-or-cherry-creation/
Food for Jack Horner	crosswordtracker.com/clue/food-for-jack-horner/
Christmas dessert	crosswordtracker.com/clue/christmas-dessert/
Cobbler, for example	crosswordtracker.com/clue/cobbler-for-example/
Lure for Simple Simon	crosswordtracker.com/clue/lure-for-simple-simon/
A clown might get it in the face	crosswordtracker.com/clue/a-clown-might-get-it-in-the-face/
Something easy, supposedly	crosswordtracker.com/clue/something-easy-supposedly/
Representation of a budget, often	crosswordtracker.com/clue/representation-of-a-budget-often/
Trivial Pursuit goal	crosswordtracker.com/clue/trivial-pursuit-goal/
It may be served Ã  la mode	crosswordtracker.com/clue/it-may-be-served-a-la-mode/
Mincemeat ___	crosswordtracker.com/clue/mincemeat-___/
USA Today chart shape	crosswordtracker.com/clue/usa-today-chart-shape/
Missile from a prankster	crosswordtracker.com/clue/missile-from-a-prankster/
Goodie to be divided	crosswordtracker.com/clue/goodie-to-be-divided/
Domino's order	crosswordtracker.com/clue/dominos-order/
Organizational figure	crosswordtracker.com/clue/organizational-figure/
The horse in "National Velvet"	crosswordtracker.com/clue/the-horse-in-national-velvet-1/
Lemon meringue, e.g.	crosswordtracker.com/clue/lemon-meringue-eg/
Jack Horner's treat	crosswordtracker.com/clue/jack-horners-treat/
Eskimo ___	crosswordtracker.com/clue/eskimo-___-1/
Trivial Pursuit symbol	crosswordtracker.com/clue/trivial-pursuit-symbol/
Dessert that ties into the puzzle's theme	crosswordtracker.com/clue/dessert-that-ties-into-the-puzzles-theme/
Home to four-and-twenty blackbirds	crosswordtracker.com/clue/home-to-four-and-twenty-blackbirds/
Circular type of chart	crosswordtracker.com/clue/circular-type-of-chart/
Banana cream, for one	crosswordtracker.com/clue/banana-cream-for-one/
Chart choice	crosswordtracker.com/clue/chart-choice/
Mitten-finding kittens' reward	crosswordtracker.com/clue/mitten-finding-kittens-reward/
Cherry or pizza creation	crosswordtracker.com/clue/cherry-or-pizza-creation/
Apple or banana cream dessert	crosswordtracker.com/clue/apple-or-banana-cream-dessert/
It's often a la mode	crosswordtracker.com/clue/its-often-a-la-mode/
Dessert from an oven	crosswordtracker.com/clue/dessert-from-an-oven/
Comedic missile	crosswordtracker.com/clue/comedic-missile/
Ice cream go-with	crosswordtracker.com/clue/ice-cream-go-with/
Dessert in a pan	crosswordtracker.com/clue/dessert-in-a-pan/
"National Velvet" horse	crosswordtracker.com/clue/national-velvet-horse-1/
Humble follower	crosswordtracker.com/clue/humble-follower-1/
Epitome of easiness?	crosswordtracker.com/clue/epitome-of-easiness-1/
Quiche, essentially	crosswordtracker.com/clue/quiche-essentially/
Bit of Trivial Pursuit equipment	crosswordtracker.com/clue/bit-of-trivial-pursuit-equipment/
Something to go to a bakery for	crosswordtracker.com/clue/something-to-go-to-a-bakery-for/
Soupy Sales missile	crosswordtracker.com/clue/soupy-sales-missile/
USA Today chart	crosswordtracker.com/clue/usa-today-chart-1/
Sales pitch?	crosswordtracker.com/clue/sales-pitch-3/
Kind of tin	crosswordtracker.com/clue/kind-of-tin/
Item for Little Jack Horner	crosswordtracker.com/clue/item-for-little-jack-horner/
Prop in slapstick	crosswordtracker.com/clue/prop-in-slapstick/
Crusty one?	crosswordtracker.com/clue/crusty-one-2/
Cobbler, e.g.	crosswordtracker.com/clue/cobbler-eg/
Ã€ la mode serving	crosswordtracker.com/clue/a-la-mode-serving/
Dessert served in triangular slices	crosswordtracker.com/clue/dessert-served-in-triangular-slices/
Chart or plate preceder	crosswordtracker.com/clue/chart-or-plate-preceder/
Place for 24 blackbirds, in verse	crosswordtracker.com/clue/place-for-24-blackbirds-in-verse/
De la Mare's "Peacock ___"	crosswordtracker.com/clue/de-la-mares-peacock-___/
Flan, e.g.	crosswordtracker.com/clue/flan-eg/
Kind of bald?	crosswordtracker.com/clue/kind-of-bald/
Nesselrode or mud follower	crosswordtracker.com/clue/nesselrode-or-mud-follower/
Baseball's Traynor	crosswordtracker.com/clue/baseballs-traynor/
Eskimo_____	crosswordtracker.com/clue/eskimo_____/
Quiche Lorraine, e.g.	crosswordtracker.com/clue/quiche-lorraine-eg/
Lemon-meringue dessert	crosswordtracker.com/clue/lemon-meringue-dessert/
This may be in the sky	crosswordtracker.com/clue/this-may-be-in-the-sky/
Tart's cousin	crosswordtracker.com/clue/tarts-cousin/
Bird allied to a jay	crosswordtracker.com/clue/bird-allied-to-a-jay/
Item in the sky?	crosswordtracker.com/clue/item-in-the-sky/
Nesselrode, e.g.	crosswordtracker.com/clue/nesselrode-eg/
Cousin of a jay	crosswordtracker.com/clue/cousin-of-a-jay/
Something found in the sky	crosswordtracker.com/clue/something-found-in-the-sky/
One kind of crust	crosswordtracker.com/clue/one-kind-of-crust/
Operation time	crosswordtracker.com/clue/operation-time/
FishermanÂ’s hangout	crosswordtracker.com/clue/fishermans-hangout-1/
Dainty dish in "Sing a Song of Sixpence"	crosswordtracker.com/clue/dainty-dish-in-sing-a-song-of-sixpence/
Dessert menu item	crosswordtracker.com/clue/dessert-menu-item/
___ in the sky (empty wish)	crosswordtracker.com/clue/___-in-the-sky-empty-wish/
Tasty wedge	crosswordtracker.com/clue/tasty-wedge/
Budget chart shape	crosswordtracker.com/clue/budget-chart-shape/
Cap's counterpart	crosswordtracker.com/clue/caps-counterpart/
Mrs. Smith's offering	crosswordtracker.com/clue/mrs-smiths-offering/
Baseball Hall of Famer Traynor	crosswordtracker.com/clue/baseball-hall-of-famer-traynor/
Chart form	crosswordtracker.com/clue/chart-form/
"American ___" (1999 Jason Biggs movie)	crosswordtracker.com/clue/american-___-1999-jason-biggs-movie/
Hurled prop	crosswordtracker.com/clue/hurled-prop/
A kind of chart	crosswordtracker.com/clue/a-kind-of-chart/
Saskatoon berry treat	crosswordtracker.com/clue/saskatoon-berry-treat/
Chart genre	crosswordtracker.com/clue/chart-genre/
Pumpkin pastry	crosswordtracker.com/clue/pumpkin-pastry/
Apple or cherry e.g.	crosswordtracker.com/clue/apple-or-cherry-eg/
Word with sweetie or cutie	crosswordtracker.com/clue/word-with-sweetie-or-cutie/
Horner's dessert	crosswordtracker.com/clue/horners-dessert/
Reward for three little kittens	crosswordtracker.com/clue/reward-for-three-little-kittens/
Cherry or blueberry item	crosswordtracker.com/clue/cherry-or-blueberry-item/
Clown's missile	crosswordtracker.com/clue/clowns-missile/
It might be in the sky	crosswordtracker.com/clue/it-might-be-in-the-sky/
After-dinner fare	crosswordtracker.com/clue/after-dinner-fare/
Humble dessert?	crosswordtracker.com/clue/humble-dessert/
Type of tin	crosswordtracker.com/clue/type-of-tin/
Treat with a crust	crosswordtracker.com/clue/treat-with-a-crust/
Key lime or Dutch apple	crosswordtracker.com/clue/key-lime-or-dutch-apple/
Round food	crosswordtracker.com/clue/round-food-1/
Chart template	crosswordtracker.com/clue/chart-template/
Chart model	crosswordtracker.com/clue/chart-model/
Slapstick weapon	crosswordtracker.com/clue/slapstick-weapon/
Pizza parlor order	crosswordtracker.com/clue/pizza-parlor-order/
Dish that's a homonym for a number that relates to its shape	crosswordtracker.com/clue/dish-thats-a-homonym-for-a-number-that-relates-to-its-shape/
Shepherd's, e.g.	crosswordtracker.com/clue/shepherds-eg/
Hurled prop that might be made with shaving cream	crosswordtracker.com/clue/hurled-prop-that-might-be-made-with-shaving-cream/
Little Italy order	crosswordtracker.com/clue/little-italy-order/
Buster Keaton missile	crosswordtracker.com/clue/buster-keaton-missile/
Pizza	crosswordheaven.com/clues/pizza
USA Today chart	crosswordheaven.com/clues/usa-today-chart
Sales pitch?	crosswordheaven.com/clues/sales-pitch
It has a shell	crosswordheaven.com/clues/it-has-a-shell
Soupy Sales missile	crosswordheaven.com/clues/soupy-sales-missile
Pizzeria order	crosswordheaven.com/clues/pizzeria-order
Bit of Trivial Pursuit equipment	crosswordheaven.com/clues/bit-of-trivial-pursuit-equipment
Something to go to a bakery for	crosswordheaven.com/clues/something-to-go-to-a-bakery-for
Pandowdy, e.g.	crosswordheaven.com/clues/pandowdy-eg
Amount to be divided	crosswordheaven.com/clues/amount-to-be-divided
Kind of chart	crosswordheaven.com/clues/kind-of-chart
Cobbler	crosswordheaven.com/clues/cobbler
Item for Little Jack Horner	crosswordheaven.com/clues/item-for-little-jack-horner
Quiche, e.g.	crosswordheaven.com/clues/quiche-eg
Trivial Pursuit piece	crosswordheaven.com/clues/trivial-pursuit-piece
Kind of tin	crosswordheaven.com/clues/kind-of-tin
Sugar ___	crosswordheaven.com/clues/sugar-___
Symbol of simplicity	crosswordheaven.com/clues/symbol-of-simplicity
Prop in slapstick	crosswordheaven.com/clues/prop-in-slapstick
Cobbler, e.g.	crosswordheaven.com/clues/cobbler-eg
Epitome of easiness	crosswordheaven.com/clues/epitome-of-easiness
Crusty one?	crosswordheaven.com/clues/crusty-one
Dessert from an oven	crosswordheaven.com/clues/dessert-from-an-oven
Mud ___	crosswordheaven.com/clues/mud-___
Comedic missile	crosswordheaven.com/clues/comedic-missile
Order from Domino's	crosswordheaven.com/clues/order-from-dominos
Three Stooges prop	crosswordheaven.com/clues/three-stooges-prop
___-eyed	crosswordheaven.com/clues/___-eyed
Mincemeat dessert	crosswordheaven.com/clues/mincemeat-dessert
Pizzeria output	crosswordheaven.com/clues/pizzeria-output
Moon__ (sweet treat)	crosswordheaven.com/clues/moon__-sweet-treat
Ice cream go-with	crosswordheaven.com/clues/ice-cream-go-with
Dessert in a pan	crosswordheaven.com/clues/dessert-in-a-pan
Crusty dessert	crosswordheaven.com/clues/crusty-dessert
It may be humble	crosswordheaven.com/clues/it-may-be-humble
Chart type	crosswordheaven.com/clues/chart-type
"National Velvet" horse	crosswordheaven.com/clues/national-velvet-horse
Shoo-fly __	crosswordheaven.com/clues/shoo-fly-__
Slapstick prop	crosswordheaven.com/clues/slapstick-prop
Epitome of easiness?	crosswordheaven.com/clues/epitome-of-easiness
Word with sugar or cream	crosswordheaven.com/clues/word-with-sugar-or-cream
Humble follower	crosswordheaven.com/clues/humble-follower
Clown's prop	crosswordheaven.com/clues/clowns-prop
Chart shape	crosswordheaven.com/clues/chart-shape
With 13-Down, a diner order	crosswordheaven.com/clues/with-13-down-a-diner-order
Pizza order	crosswordheaven.com/clues/pizza-order
Thanksgiving serving	crosswordheaven.com/clues/thanksgiving-serving
Word with cutie or sweetie	crosswordheaven.com/clues/word-with-cutie-or-sweetie
It has some crust	crosswordheaven.com/clues/it-has-some-crust
Goodie to be divided	crosswordheaven.com/clues/goodie-to-be-divided
Mincemeat ___	crosswordheaven.com/clues/mincemeat-___
USA Today chart shape	crosswordheaven.com/clues/usa-today-chart-shape
It may be served Ã  la mode	crosswordheaven.com/clues/it-may-be-served-la-mode
Set of wedges?	crosswordheaven.com/clues/set-of-wedges
Christmas ___	crosswordheaven.com/clues/christmas-___
Easy as ___	crosswordheaven.com/clues/easy-as-___
Missile from a prankster	crosswordheaven.com/clues/missile-from-a-prankster
Bake sale offering	crosswordheaven.com/clues/bake-sale-offering
Chicken pot __	crosswordheaven.com/clues/chicken-pot-__
"American ___"	crosswordheaven.com/clues/american-___
Little Jack Horner's dessert	crosswordheaven.com/clues/little-jack-horners-dessert
Tin contents	crosswordheaven.com/clues/tin-contents
Kind of filling	crosswordheaven.com/clues/kind-of-filling
Three Stooges missile	crosswordheaven.com/clues/three-stooges-missile
Trivial Pursuit goal	crosswordheaven.com/clues/trivial-pursuit-goal
Representation of a budget, often	crosswordheaven.com/clues/representation-of-a-budget-often
"American ___" (1999 sex comedy)	crosswordheaven.com/clues/american-___-1999-sex-comedy
Dessert menu item	crosswordheaven.com/clues/dessert-menu-item
Word after honey or humble	crosswordheaven.com/clues/word-after-honey-or-humble
Custard concoction	crosswordheaven.com/clues/custard-concoction
Shoeless cobbler?	crosswordheaven.com/clues/shoeless-cobbler
Word with honey or humble	crosswordheaven.com/clues/word-with-honey-or-humble
Slapstick staple	crosswordheaven.com/clues/slapstick-staple
Four-and-twenty blackbirds' place	crosswordheaven.com/clues/four-and-twenty-blackbirds-place
Mississippi mud, e.g.	crosswordheaven.com/clues/mississippi-mud-eg
Sliced dessert	crosswordheaven.com/clues/sliced-dessert
Humble fare	crosswordheaven.com/clues/humble-fare
Pizza or quiche	crosswordheaven.com/clues/pizza-or-quiche
Symbol of easiness	crosswordheaven.com/clues/symbol-of-easiness
Clown's projectile	crosswordheaven.com/clues/clowns-projectile
Window sill cooler	crosswordheaven.com/clues/window-sill-cooler
The Three Little Kittens' reward	crosswordheaven.com/clues/the-three-little-kittens-reward
Type of chart	crosswordheaven.com/clues/type-of-chart
All-American dessert	crosswordheaven.com/clues/all-american-dessert
Bake sale item	crosswordheaven.com/clues/bake-sale-item
Sales receipt?	crosswordheaven.com/clues/sales-receipt
Edible chart?	crosswordheaven.com/clues/edible-chart
Shoofly, e.g.	crosswordheaven.com/clues/shoofly-eg
Fruity dessert	crosswordheaven.com/clues/fruity-dessert
Pizzeria purchase	crosswordheaven.com/clues/pizzeria-purchase
Word with cream or sugar	crosswordheaven.com/clues/word-with-cream-or-sugar
Pastry choice	crosswordheaven.com/clues/pastry-choice
Sky sight?	crosswordheaven.com/clues/sky-sight
Divisible whole, figuratively	crosswordheaven.com/clues/divisible-whole-figuratively
Three Little Kittens' reward	crosswordheaven.com/clues/three-little-kittens-reward
Peach, cherry, or blueberry	crosswordheaven.com/clues/peach-cherry-or-blueberry
Financial chart metaphor	crosswordheaven.com/clues/financial-chart-metaphor
Crusty treat	crosswordheaven.com/clues/crusty-treat
Thanksgiving dessert	crosswordheaven.com/clues/thanksgiving-dessert
Crusty one	crosswordheaven.com/clues/crusty-one
Item often found cooling on a window sill	crosswordheaven.com/clues/item-often-found-cooling-on-a-window-sill
Humble follower?	crosswordheaven.com/clues/humble-follower
Word after sweetie or Tweety	crosswordheaven.com/clues/word-after-sweetie-or-tweety
___ in the sky (empty wish)	crosswordheaven.com/clues/___-in-the-sky-empty-wish
Dessert choice	crosswordheaven.com/clues/dessert-choice
It often has an upper crust	crosswordheaven.com/clues/it-often-has-an-upper-crust
Tasty wedge	crosswordheaven.com/clues/tasty-wedge
Baked dessert	crosswordheaven.com/clues/baked-dessert
Word after cutie or sweetie	crosswordheaven.com/clues/word-after-cutie-or-sweetie
Bakery purchase	crosswordheaven.com/clues/bakery-purchase
Dessert often served Ã  la mode	crosswordheaven.com/clues/dessert-often-served-la-mode
Cap's counterpart	crosswordheaven.com/clues/caps-counterpart
Patisserie purchase	crosswordheaven.com/clues/patisserie-purchase
Mrs. Smith's offering	crosswordheaven.com/clues/mrs-smiths-offering
Baseball Hall of Famer Traynor	crosswordheaven.com/clues/baseball-hall-of-famer-traynor
Chart form	crosswordheaven.com/clues/chart-form
Slapstick missile	crosswordheaven.com/clues/slapstick-missile
"American ___" (1999 Jason Biggs movie)	crosswordheaven.com/clues/american-___-1999-jason-biggs-movie
Dessert with a crust	crosswordheaven.com/clues/dessert-with-a-crust
It may have a crimped crust	crosswordheaven.com/clues/it-may-have-a-crimped-crust
Pizzeria offering	crosswordheaven.com/clues/pizzeria-offering
Dessert in the sky?	crosswordheaven.com/clues/dessert-in-the-sky
Statistical metaphor	crosswordheaven.com/clues/statistical-metaphor
Symbol of ease	crosswordheaven.com/clues/symbol-of-ease
Bakery buy	crosswordheaven.com/clues/bakery-buy
"National Velvet" horse, with "The"	crosswordheaven.com/clues/national-velvet-horse-with-the
Sales chart metaphor	crosswordheaven.com/clues/sales-chart-metaphor
What Jack Horner was eating	crosswordheaven.com/clues/what-jack-horner-was-eating
Dessert option	crosswordheaven.com/clues/dessert-option
Dessert in a tin	crosswordheaven.com/clues/dessert-in-a-tin
Easy as __	crosswordheaven.com/clues/easy-as-__
Pizzeria staple	crosswordheaven.com/clues/pizzeria-staple
Pot attachment	crosswordheaven.com/clues/pot-attachment
Dessert order	crosswordheaven.com/clues/dessert-order
Bake-off entry	crosswordheaven.com/clues/bake-off-entry
See 69-Down	crosswordheaven.com/clues/see-69-down
Cake alternative	crosswordheaven.com/clues/cake-alternative
Fruit-filled dessert	crosswordheaven.com/clues/fruit-filled-dessert
Flaky dessert	crosswordheaven.com/clues/flaky-dessert
Budget chart	crosswordheaven.com/clues/budget-chart
Graph shape	crosswordheaven.com/clues/graph-shape
Whole pizza	crosswordheaven.com/clues/whole-pizza
Dessert-cart choice	crosswordheaven.com/clues/dessert-cart-choice
Mock apple __	crosswordheaven.com/clues/mock-apple-__
Eight slices, often	crosswordheaven.com/clues/eight-slices-often
Diner order	crosswordheaven.com/clues/diner-order
Mud concoction	crosswordheaven.com/clues/mud-concoction
Quiche shape	crosswordheaven.com/clues/quiche-shape
Enterprise, figuratively	crosswordheaven.com/clues/enterprise-figuratively
See 41 Down	crosswordheaven.com/clues/see-41-down
Place for key limes	crosswordheaven.com/clues/place-for-key-limes
Budget representation	crosswordheaven.com/clues/budget-representation
Lemon meringue, for one	crosswordheaven.com/clues/lemon-meringue-for-one
Key lime or Dutch apple	crosswordheaven.com/clues/key-lime-or-dutch-apple
Dessert selection	crosswordheaven.com/clues/dessert-selection
Diner dessert	crosswordheaven.com/clues/diner-dessert
Round food	crosswordheaven.com/clues/round-food
Rhubarb, for one	crosswordheaven.com/clues/rhubarb-for-one
It may have a filling filling	crosswordheaven.com/clues/it-may-have-a-filling-filling
The horse in "National Velvet" (with "The")	crosswordheaven.com/clues/the-horse-in-national-velvet-with-the
Apple or peach, e.g.	crosswordheaven.com/clues/apple-or-peach-eg
Bakery order	crosswordheaven.com/clues/bakery-order
It can be eaten a la mode	crosswordheaven.com/clues/it-can-be-eaten-a-la-mode
Shepherd's, for one	crosswordheaven.com/clues/shepherds-for-one
It's easy	crosswordheaven.com/clues/its-easy
Dessert favorite	crosswordheaven.com/clues/dessert-favorite
Shoofly ___	crosswordheaven.com/clues/shoofly-___
It's just below the upper crust?	crosswordheaven.com/clues/its-just-below-the-upper-crust
Thanksgiving finale	crosswordheaven.com/clues/thanksgiving-finale
It's slapstick material	crosswordheaven.com/clues/its-slapstick-material
